fixed acidity,volatile acidity,citric acid,total sulfur dioxide,density,alcohol,quality
7.0,0.58,0.28,69.0,0.99633,11.0,6
10.9,0.21,0.49,32.0,0.9972,11.7,6
6.7,0.46,0.24,34.0,0.9948,10.6,6
7.0,0.38,0.49,85.0,0.9962,11.4,6
7.5,0.51,0.02,31.0,0.99538,10.5,6
7.8,0.5,0.17,102.0,0.996,9.5,5
8.7,0.52,0.09,49.0,0.9976,10.6,7
6.1,0.715,0.1,27.0,0.99362,11.9,5
7.8,0.56,0.19,105.0,0.9962,9.5,5
7.7,0.26,0.26,77.0,0.9951,10.9,6
13.2,0.46,0.52,35.0,1.0006,9.0,6
8.4,0.37,0.43,19.0,0.9955,11.2,7
6.0,0.5,0.04,26.0,0.99647,10.0,5
8.3,0.6,0.13,24.0,0.9984,9.2,6
6.9,0.41,0.33,36.0,0.9949,11.1,6
7.6,0.39,0.31,71.0,0.9982,9.7,5
7.2,0.695,0.13,20.0,0.99546,10.1,5
6.6,0.7,0.08,27.0,0.99665,10.2,5
10.1,0.28,0.46,13.0,0.9974,10.2,6
8.8,0.3,0.38,72.0,0.99543,11.8,6
6.1,0.48,0.09,30.0,0.99402,11.2,6
7.0,0.42,0.35,39.0,0.9961,9.2,5
7.4,0.64,0.17,98.0,0.99736,9.5,5
7.0,0.36,0.21,65.0,0.99558,10.1,6
7.3,0.835,0.03,19.0,0.9966,9.6,5
13.4,0.27,0.62,21.0,1.0002,9.7,6
8.0,0.62,0.33,37.0,0.9972,10.7,6
8.9,0.22,0.48,60.0,0.9968,9.4,6
6.8,0.56,0.03,35.0,0.9968,10.0,6
9.6,0.41,0.37,23.0,0.99786,10.5,5
8.5,0.46,0.31,58.0,0.998,9.8,5
8.0,0.45,0.23,29.0,0.9962,10.2,6
7.7,0.63,0.08,27.0,0.9967,9.5,6
7.3,0.4,0.3,79.0,0.9969,9.5,6
8.8,0.66,0.26,23.0,0.9971,9.2,5
11.3,0.37,0.41,16.0,0.9988,9.3,5
10.0,0.58,0.22,32.0,0.9974,9.5,5
9.9,0.44,0.46,41.0,0.99638,11.9,6
7.4,0.59,0.08,29.0,0.9974,9.0,4
6.2,0.39,0.43,24.0,0.99428,11.2,7
6.9,1.09,0.06,31.0,0.9948,11.4,4
8.0,1.18,0.21,41.0,0.99532,10.5,5
13.2,0.46,0.52,35.0,1.0006,9.0,6
10.7,0.52,0.38,56.0,0.99577,12.1,7
9.1,0.28,0.46,9.0,0.99901,10.9,6
7.6,0.9,0.06,10.0,0.9967,9.8,5
7.8,0.76,0.04,54.0,0.997,9.8,5
8.4,0.56,0.08,44.0,0.9958,11.0,5
8.8,0.46,0.45,18.0,0.9947,14.0,6
7.5,0.71,0.0,31.0,0.99635,10.0,6
7.5,0.63,0.12,110.0,0.9983,9.4,5
8.4,0.56,0.04,22.0,0.9976,9.6,5
9.4,0.395,0.46,10.0,0.99639,12.2,7
10.6,0.31,0.49,40.0,0.9976,9.8,6
6.5,0.88,0.03,47.0,0.99572,11.2,4
6.1,0.53,0.08,45.0,0.99528,10.3,6
11.9,0.37,0.69,24.0,0.9958,12.8,6
7.1,0.875,0.05,14.0,0.99808,10.2,3
7.0,0.745,0.12,64.0,0.99588,9.5,6
6.4,0.53,0.09,31.0,0.9968,11.0,4
7.7,0.57,0.21,9.0,0.99458,9.8,6
8.2,0.74,0.09,10.0,0.99418,11.8,6
12.0,0.38,0.56,24.0,0.99925,10.9,6
12.2,0.48,0.54,64.0,1.0,10.5,6
7.7,0.49,0.26,31.0,0.9966,9.6,5
8.7,0.52,0.09,49.0,0.9976,10.6,7
5.8,0.61,0.11,28.0,0.99483,10.9,6
7.9,0.58,0.23,94.0,0.99686,9.5,6
7.1,0.59,0.02,94.0,0.99744,9.7,6
7.5,0.43,0.3,12.0,0.99495,11.5,7
9.9,0.5,0.5,82.0,1.00242,8.8,5
8.8,0.48,0.41,52.0,0.9982,10.5,6
12.0,0.37,0.76,38.0,1.0004,13.0,7
6.8,0.59,0.06,18.0,0.9962,10.8,7
10.9,0.32,0.52,44.0,0.99734,11.5,6
7.2,0.655,0.03,12.0,0.99587,9.5,5
9.1,0.4,0.57,20.0,0.99652,12.5,6
7.1,0.63,0.06,29.0,0.99855,9.6,5
6.9,0.56,0.03,46.0,0.99522,10.6,5
8.0,0.83,0.27,63.0,0.99652,9.8,4
9.2,0.63,0.21,65.0,0.9988,9.6,5
9.9,0.54,0.45,40.0,0.9991,9.4,5
10.0,0.42,0.5,21.0,0.9979,11.8,6
7.8,0.59,0.18,54.0,0.9975,10.0,5
6.2,0.58,0.0,18.0,0.9966,9.4,5
8.0,0.18,0.37,109.0,0.99007,12.7,6
7.2,0.39,0.44,48.0,0.99494,11.5,6
8.8,0.27,0.46,29.0,0.99488,11.3,6
7.3,0.49,0.1,14.0,0.99562,10.5,5
8.0,0.57,0.23,119.0,0.99675,9.3,5
9.7,0.69,0.32,91.0,0.9979,10.1,5
10.2,0.34,0.48,9.0,0.99458,12.1,7
7.9,0.69,0.21,141.0,0.9962,9.9,5
9.3,0.61,0.26,87.0,0.99975,9.7,5
7.4,0.67,0.12,21.0,0.996,9.5,5
7.5,0.49,0.19,44.0,0.9957,9.7,5
10.6,0.36,0.57,20.0,0.99676,11.1,7
7.6,0.49,0.33,85.0,0.99706,9.0,5
7.8,0.5,0.09,42.0,0.9971,9.5,5
10.2,0.54,0.37,95.0,1.00369,9.0,6
7.9,0.18,0.4,20.0,0.9941,11.1,5
7.7,0.43,0.25,63.0,0.99615,10.5,6
5.2,0.49,0.26,74.0,0.9953,12.2,6
6.7,0.67,0.02,42.0,0.99489,10.9,6
8.9,0.31,0.36,39.0,0.99562,11.8,5
8.4,0.745,0.11,63.0,0.9965,9.6,5
8.4,0.36,0.32,79.0,0.9964,11.0,6
7.1,0.68,0.0,26.0,0.99783,9.5,5
7.6,0.43,0.31,74.0,0.9958,9.9,6
8.9,0.565,0.34,112.0,0.9998,9.5,5
7.1,0.31,0.3,127.0,0.9965,9.5,5
6.4,0.57,0.02,11.0,0.997,9.5,5
8.8,0.37,0.48,145.0,0.9975,9.3,5
8.2,0.56,0.23,104.0,0.9976,9.4,5
7.4,0.66,0.0,40.0,0.9978,9.4,5
7.8,0.63,0.48,96.0,0.9961,9.5,5
6.6,0.58,0.02,40.0,0.99387,12.6,6
7.0,0.805,0.0,20.0,0.9969,9.6,5
6.7,0.62,0.21,62.0,0.997,9.3,6
10.6,0.42,0.48,18.0,0.9972,11.3,6
6.7,0.855,0.02,38.0,0.99472,10.75,6
5.0,0.4,0.5,80.0,0.9902,13.6,6
10.5,0.26,0.47,24.0,0.9976,10.9,7
7.9,0.885,0.03,8.0,0.9972,9.1,4
6.9,0.58,0.01,54.0,0.99683,9.7,5
7.8,0.55,0.35,66.0,0.9974,9.2,5
6.8,0.68,0.21,23.0,0.99546,10.3,5
8.3,0.76,0.29,16.0,0.9965,11.5,6
8.6,0.22,0.36,77.0,0.99604,11.0,7
9.4,0.4,0.31,62.0,0.9966,10.5,6
8.4,0.52,0.22,18.0,0.99682,9.9,6
7.0,0.78,0.08,19.0,0.9956,10.0,5
6.9,0.635,0.17,18.0,0.9961,10.3,6
6.6,0.61,0.0,8.0,0.99396,10.4,4
8.0,0.6,0.22,105.0,0.99613,9.9,5
6.5,0.67,0.0,20.0,0.99488,11.8,4
9.1,0.3,0.41,24.0,0.99523,11.7,7
9.8,0.3,0.39,9.0,0.9948,11.5,7
8.1,0.87,0.0,31.0,0.99656,9.8,5
8.9,0.4,0.32,47.0,0.9991,10.5,7
9.6,0.5,0.36,55.0,0.99722,10.9,5
8.7,0.31,0.46,25.0,0.9966,10.1,6
7.2,0.49,0.24,36.0,0.996,9.4,5
7.3,0.33,0.47,11.0,0.9958,10.3,6
7.7,0.58,0.01,18.0,0.99568,10.5,7
7.7,0.58,0.1,109.0,0.99565,9.8,6
8.8,0.955,0.05,19.0,0.99616,9.6,4
14.3,0.31,0.74,15.0,1.0008,8.4,6
7.0,0.5,0.25,22.0,0.9963,9.2,5
6.8,0.61,0.2,65.0,0.9971,9.3,5
6.8,0.69,0.0,58.0,0.9997,10.2,5
8.0,0.71,0.0,34.0,0.9976,9.5,5
8.8,0.6,0.29,15.0,0.9988,9.1,5
8.0,0.52,0.25,59.0,0.99612,10.2,5
11.1,0.31,0.53,10.0,0.99572,10.9,7
8.6,0.42,0.39,12.0,0.99516,11.7,8
7.2,0.63,0.0,38.0,0.99675,9.0,6
12.6,0.38,0.66,41.0,1.001,9.8,6
7.3,0.55,0.03,42.0,0.9956,9.0,4
8.7,0.63,0.28,69.0,0.99734,10.2,6
10.4,0.28,0.54,19.0,0.9988,9.5,5
6.6,0.5,0.0,28.0,0.99352,12.3,6
7.8,0.645,0.0,16.0,0.9964,9.8,6
10.0,0.26,0.54,74.0,0.99451,11.8,8
11.6,0.44,0.64,15.0,0.998,10.2,6
7.0,0.6,0.12,28.0,0.9966,10.2,7
7.9,0.35,0.46,37.0,0.9973,12.8,8
9.5,0.59,0.44,68.0,0.9992,9.5,5
8.8,0.61,0.14,42.0,0.9969,9.5,5
7.6,0.645,0.03,57.0,0.9969,10.3,5
7.3,0.45,0.36,87.0,0.9978,10.5,5
7.0,0.685,0.0,22.0,0.99606,9.7,5
8.0,0.39,0.3,84.0,0.99717,9.0,5
11.0,0.3,0.58,19.0,0.998,10.5,7
9.2,0.36,0.34,12.0,0.99667,10.5,6
7.3,0.59,0.26,121.0,0.9981,9.4,5
8.2,0.43,0.29,45.0,0.99603,10.3,5
9.3,0.655,0.26,35.0,0.99738,9.6,5
6.0,0.5,0.0,26.0,0.99448,9.5,5
7.2,0.635,0.07,86.0,0.99748,9.7,5
7.2,0.415,0.36,45.0,0.9972,9.2,5
7.5,0.4,0.18,58.0,0.9965,9.4,5
7.2,0.52,0.07,20.0,0.9973,9.6,6
10.4,0.43,0.5,19.0,0.996,11.4,6
7.0,0.69,0.07,21.0,0.99572,11.3,6
7.5,0.52,0.11,39.0,0.9968,9.6,5
12.8,0.615,0.66,42.0,1.0022,10.0,7
9.1,0.5,0.3,17.0,0.99774,10.5,6
10.2,0.29,0.49,13.0,0.9976,10.5,7
10.4,0.44,0.42,48.0,0.99832,9.9,3
9.6,0.68,0.24,28.0,0.9988,10.2,5
9.0,0.47,0.31,125.0,0.9984,9.4,5
7.7,0.23,0.37,60.0,0.9971,12.1,6
9.1,0.68,0.11,44.0,0.99888,9.5,6
8.8,0.61,0.19,69.0,0.99787,10.0,6
5.2,0.34,0.0,63.0,0.9916,14.0,6
7.0,0.36,0.21,69.0,0.99556,10.1,6
7.3,0.44,0.2,64.0,0.9935,11.7,6
7.8,0.82,0.29,64.0,0.99642,9.4,5
7.5,0.77,0.2,92.0,0.99892,9.2,5
11.7,0.28,0.47,32.0,0.99686,10.6,7
15.6,0.685,0.76,43.0,1.0032,11.2,7
7.4,0.62,0.05,42.0,0.9961,11.5,6
9.8,0.66,0.39,59.0,0.9989,11.5,7
6.8,0.6,0.18,86.0,0.9968,9.3,6
7.2,0.41,0.3,72.0,0.997,9.4,5
8.6,0.685,0.1,12.0,0.99745,9.55,6
7.6,0.46,0.11,49.0,0.9968,10.0,5
11.4,0.6,0.49,41.0,0.9994,10.5,6
8.5,0.37,0.32,51.0,0.99456,11.8,6
7.5,0.38,0.57,12.0,0.99605,11.4,6
8.4,0.665,0.61,95.0,0.997,9.1,5
8.5,0.34,0.44,12.0,0.99605,10.7,5
8.2,0.2,0.43,51.0,0.99672,10.4,6
11.0,0.26,0.68,25.0,0.997,11.8,5
8.7,0.69,0.31,81.0,1.0002,11.6,6
9.4,0.34,0.37,13.0,0.998,9.2,5
6.5,0.58,0.0,13.0,0.99557,11.5,4
12.5,0.46,0.63,15.0,0.9988,10.2,5
11.6,0.475,0.4,28.0,0.99704,10.0333333333333,6
12.3,0.5,0.49,14.0,1.0002,9.6,5
7.8,0.545,0.12,35.0,0.996,11.6,6
7.3,0.39,0.31,46.0,0.9962,9.4,6
8.3,0.6,0.25,38.0,0.99616,9.8,5
6.2,0.45,0.2,15.0,0.9958,9.2,5
7.8,0.39,0.42,21.0,0.99526,11.6,6
11.5,0.54,0.71,15.0,0.9984,11.8,7
8.2,0.28,0.4,10.0,0.99356,12.8,7
12.5,0.28,0.54,29.0,0.9997,9.8,7
8.3,0.65,0.1,40.0,0.99803,9.5,5
6.4,0.39,0.33,53.0,0.99294,12.2,6
10.4,0.52,0.45,13.0,0.99774,11.4,6
7.4,0.36,0.29,72.0,0.99645,11.0,5
7.7,0.28,0.3,34.0,0.9952,11.3,7
7.6,0.735,0.02,14.0,0.99538,11.7,7
7.1,0.65,0.18,40.0,0.997,9.1,5
6.8,0.5,0.11,49.0,0.99545,9.5,5
7.6,0.52,0.12,53.0,0.9971,9.1,5
7.2,0.56,0.26,100.0,0.99586,9.9,5
6.6,0.735,0.02,124.0,0.9994,9.9,5
12.3,0.5,0.49,14.0,1.0002,9.6,5
5.6,0.605,0.05,25.0,0.99258,12.9,5
9.7,0.42,0.46,16.0,0.99649,12.3,6
11.6,0.47,0.44,51.0,0.99836,9.9,4
10.4,0.41,0.55,54.0,0.9996,9.9,6
7.4,0.39,0.48,67.0,0.9972,9.2,5
7.7,0.26,0.3,38.0,0.9949,10.8,6
8.1,0.87,0.0,31.0,0.99656,9.8,5
7.2,0.53,0.14,29.0,0.99323,12.1,6
9.2,0.53,0.24,139.0,0.99788,9.5,5
7.1,0.6,0.0,34.0,0.9972,9.9,6
9.5,0.46,0.49,17.0,0.9988,11.0,6
9.0,0.66,0.17,13.0,0.9976,10.4,5
9.5,0.78,0.22,32.0,0.9988,10.6,6
7.8,0.43,0.32,58.0,0.9974,10.3,5
6.9,0.57,0.0,41.0,0.99518,10.8,5
7.3,0.67,0.02,92.0,0.99566,11.1,6
7.9,0.72,0.01,32.0,0.99668,9.6,5
7.1,0.59,0.01,85.0,0.99746,9.8,5
8.8,0.685,0.26,23.0,0.99694,9.4,5
7.0,0.43,0.36,37.0,0.99615,9.2,6
6.7,0.54,0.13,36.0,0.9973,9.8,5
7.1,0.46,0.14,37.0,0.99624,10.7,5
8.3,0.65,0.1,40.0,0.99803,9.5,5
7.7,0.58,0.01,18.0,0.99568,10.5,7
8.4,0.39,0.1,25.0,0.99581,9.7,6
8.2,0.39,0.38,29.0,0.9962,9.8,5
8.5,0.37,0.2,58.0,0.998,9.6,6
8.3,0.43,0.3,34.0,0.99788,10.5,5
10.7,0.43,0.39,32.0,0.9986,9.6,5
11.1,0.44,0.42,19.0,0.99758,10.4,6
8.7,0.78,0.51,66.0,0.99623,9.2,5
8.6,0.315,0.4,6.0,0.99512,11.9,6
11.1,0.35,0.48,21.0,0.9986,10.5,5
7.3,0.66,0.0,23.0,0.9983,9.9,6
7.8,0.53,0.04,31.0,0.9964,10.0,6
7.9,0.5,0.33,143.0,0.9968,9.5,5
8.1,0.78,0.1,13.0,0.99855,9.5,5
7.9,0.43,0.21,37.0,0.9966,9.5,5
7.5,0.58,0.03,46.0,0.99592,9.2,5
10.8,0.5,0.46,27.0,1.0001,9.5,5
11.5,0.3,0.6,27.0,0.9981,10.1,6
9.5,0.57,0.27,144.0,0.99782,9.4,5
7.4,0.785,0.19,98.0,0.99713,9.56666666666667,6
8.0,0.42,0.17,18.0,0.9972,9.2,6
10.7,0.35,0.53,16.0,0.9972,11.0,8
5.2,0.645,0.0,28.0,0.99444,12.5,6
7.3,0.365,0.49,106.0,0.9966,11.0,5
6.8,0.59,0.06,18.0,0.9962,10.8,7
7.5,0.58,0.2,44.0,0.99494,9.3,5
7.7,0.64,0.21,133.0,0.9956,9.9,5
7.5,0.705,0.24,63.0,0.9964,9.5,5
8.6,0.49,0.28,136.0,0.9972,9.9,6
8.2,0.24,0.34,22.0,0.9974,10.9,6
5.0,0.38,0.01,60.0,0.99084,14.0,6
12.4,0.35,0.49,69.0,0.9994,10.4,6
8.3,0.33,0.42,20.0,0.99426,12.7,7
6.8,0.47,0.08,38.0,0.99553,9.6,6
7.3,0.69,0.32,104.0,0.99632,9.5,5
6.6,0.44,0.15,53.0,0.9957,9.3,5
8.6,0.645,0.25,28.0,0.99815,10.0,6
8.9,0.75,0.14,30.0,0.99824,10.5,5
10.3,0.5,0.42,51.0,0.9982,11.5,6
6.7,0.28,0.28,100.0,0.99064,11.7,7
6.6,0.855,0.02,23.0,0.99627,11.0,6
10.7,0.4,0.37,29.0,0.99674,11.2,6
7.8,0.87,0.26,67.0,0.99668,9.2,5
6.7,0.42,0.27,148.0,0.9948,11.3,6
7.2,0.34,0.21,68.0,0.99586,10.1,6
9.5,0.59,0.44,68.0,0.9992,9.5,5
9.1,0.22,0.24,28.0,0.999,10.3,6
8.7,0.46,0.31,64.0,0.99746,9.6,5
9.2,0.52,1.0,69.0,0.9996,9.4,4
9.1,0.29,0.33,27.0,0.99516,11.7,7
7.1,0.66,0.0,45.0,0.9976,9.5,5
6.0,0.51,0.0,54.0,0.995,10.7,6
6.7,0.86,0.07,57.0,0.99598,11.7,6
11.8,0.26,0.52,10.0,0.9968,10.2,7
10.6,0.83,0.37,70.0,0.9981,9.9,5
7.0,0.69,0.0,10.0,0.99636,9.7,6
7.8,0.32,0.44,17.0,0.99732,11.0,7
10.7,0.4,0.48,49.0,0.998,9.7,6
6.9,0.49,0.19,26.0,0.99547,9.8,6
9.2,0.755,0.18,103.0,0.9969,10.2,6
7.2,0.67,0.0,24.0,0.9956,11.1,6
5.3,0.47,0.11,89.0,0.99182,13.6,7
11.4,0.26,0.44,19.0,0.9986,9.3,6
9.3,0.32,0.57,65.0,0.9969,10.7,5
7.2,0.5,0.18,31.0,0.99761,9.6,6
7.5,0.27,0.34,8.0,0.9951,11.0,7
11.6,0.475,0.4,28.0,0.99704,10.0333333333333,6
10.2,0.44,0.58,24.0,0.99745,12.0,7
5.0,0.42,0.24,50.0,0.9917,14.0,8
7.1,0.59,0.0,14.0,0.99488,11.5,7
6.3,1.02,0.0,24.0,0.99437,11.2,4
8.3,0.65,0.1,40.0,0.99803,9.5,5
6.9,0.55,0.15,40.0,0.9961,10.1,5
8.0,0.59,0.16,16.0,0.9962,10.5,7
10.7,0.67,0.22,34.0,1.0004,9.9,6
7.7,0.69,0.05,27.0,0.9974,9.1,5
8.3,0.715,0.15,52.0,0.9968,9.5,5
9.9,0.35,0.55,14.0,0.9971,10.6,5
6.9,0.49,0.1,30.0,0.9959,10.2,6
8.7,0.69,0.31,81.0,1.0002,11.6,6
9.1,0.45,0.35,78.0,0.9987,9.5,5
8.3,0.26,0.42,27.0,0.9974,9.4,6
12.2,0.34,0.5,21.0,1.0,9.2,6
7.8,0.44,0.28,95.0,0.9966,9.4,5
7.0,0.56,0.17,24.0,0.99514,10.55,7
7.1,0.715,0.0,47.0,0.99632,9.4,5
6.6,0.52,0.04,15.0,0.9956,9.4,6
8.4,0.31,0.29,26.0,0.99536,12.0,6
8.2,0.38,0.32,71.0,0.99624,11.0,6
5.7,1.13,0.09,19.0,0.994,9.8,4
6.4,0.36,0.53,35.0,0.9934,12.4,6
7.1,0.46,0.2,54.0,0.9956,10.4,6
11.9,0.38,0.51,20.0,0.9996,10.4,6
11.2,0.67,0.55,13.0,1.0,9.5,6
12.6,0.39,0.49,20.0,0.9992,10.3,6
7.6,0.43,0.29,66.0,0.99718,9.5,5
7.3,0.695,0.0,13.0,0.998,9.2,5
7.2,0.65,0.02,31.0,0.9993,9.7,5
8.9,0.59,0.5,81.0,0.9964,9.5,6
7.7,0.51,0.28,54.0,0.998,9.2,5
8.2,0.35,0.33,47.0,0.99599,11.0,6
9.1,0.22,0.24,28.0,0.999,10.3,6
8.8,0.27,0.39,27.0,0.99546,11.2,6
4.6,0.52,0.15,65.0,0.9934,13.1,4
10.6,1.02,0.43,88.0,0.9984,10.1,6
6.6,0.56,0.14,29.0,0.99397,11.7,7
7.0,0.735,0.05,54.0,0.9966,9.8,5
6.8,0.775,0.0,23.0,0.9965,10.7,5
7.3,0.38,0.21,35.0,0.9961,9.5,5
7.5,0.755,0.0,12.0,0.99672,9.7,4
7.1,0.47,0.0,14.0,0.99517,10.9,4
7.7,0.835,0.0,14.0,0.9975,9.3,5
6.3,0.76,0.0,52.0,0.99379,11.5,6
7.2,0.57,0.05,36.0,0.99564,10.3,6
7.2,0.66,0.03,86.0,0.99743,9.7,5
8.2,0.34,0.37,74.0,0.99408,12.0,6
12.7,0.6,0.49,19.0,0.9994,11.4,5
8.0,0.715,0.22,81.0,0.99688,9.5,6
9.5,0.735,0.1,31.0,0.9986,10.1,6
6.8,0.56,0.22,24.0,0.99438,11.2,6
11.5,0.59,0.59,49.0,0.9988,11.0,6
7.3,0.59,0.26,104.0,0.99584,9.9,5
8.1,0.72,0.09,49.0,0.9994,11.1,6
9.8,0.88,0.25,155.0,1.001,11.2,5
8.6,0.49,0.51,62.0,0.9979,9.0,5
9.6,0.56,0.23,92.0,0.9996,10.1,5
6.8,0.36,0.32,8.0,0.9928,12.8,7
8.2,0.64,0.27,77.0,0.99747,9.1,6
7.1,0.755,0.15,84.0,0.99593,9.5,5
6.7,0.46,0.24,34.0,0.9948,10.6,6
7.5,0.38,0.57,12.0,0.99605,11.4,6
10.6,0.36,0.59,18.0,0.9986,9.4,5
10.5,0.43,0.35,70.0,0.99798,10.5,6
8.1,0.545,0.18,35.0,0.9972,9.0,6
7.8,0.6,0.26,131.0,0.99622,9.9,5
12.8,0.3,0.74,28.0,0.9994,10.8,7
