volatile acidity,chlorides,free sulfur dioxide,sulphates,alcohol,quality
0.41,0.08,29.0,0.88,11.0,5
0.69,0.063,42.0,0.6,10.2,6
0.36,0.123,3.0,0.53,11.9,6
0.65,0.088,27.0,0.77,9.4,5
0.37,0.078,12.0,0.65,12.8,6
0.62,0.17,51.0,0.93,9.2,5
0.52,0.069,8.0,0.63,9.4,6
0.66,0.097,23.0,0.48,9.2,5
0.6,0.079,28.0,0.57,9.7,5
0.96,0.047,15.0,0.44,10.9,5
0.695,0.076,12.0,0.54,10.1,5
0.31,0.066,15.0,0.7,10.0,7
0.49,0.222,6.0,0.6,9.5,6
0.56,0.086,36.0,0.57,10.6,5
0.23,0.057,14.0,0.49,9.3,4
0.24,0.077,6.0,1.05,10.8,7
0.59,0.07,14.0,0.56,9.6,4
0.66,0.096,6.0,0.58,9.5,5
0.47,0.147,36.0,0.86,9.9,4
0.63,0.099,16.0,0.61,9.5,5
0.57,0.081,21.0,0.52,10.8,5
0.21,0.075,10.0,0.84,9.2,7
0.42,0.08,15.0,0.64,9.0,5
0.64,0.105,29.0,0.67,9.9,5
0.52,0.087,24.0,0.61,9.5,5
0.5,0.116,26.0,0.68,10.9,5
0.42,0.074,5.0,0.74,12.3,6
0.43,0.08,15.0,0.81,10.6,6
0.3,0.068,10.0,0.85,11.7,7
0.775,0.102,8.0,0.56,10.7,5
0.6,0.083,17.0,0.56,9.8,6
0.34,0.075,5.0,0.62,9.2,5
0.65,0.078,8.0,0.62,10.4,6
0.44,0.063,9.0,0.69,11.3,6
0.5,0.084,6.0,0.77,10.8,6
0.52,0.071,11.0,0.63,11.6,6
0.34,0.159,15.0,0.64,9.4,5
0.4,0.069,11.0,0.74,10.1,7
0.59,0.102,32.0,0.71,9.8,5
0.54,0.081,10.0,0.59,11.5,6
0.24,0.075,6.0,1.06,11.0,6
0.955,0.075,5.0,0.44,9.6,4
0.57,0.06,28.0,0.43,10.1,5
0.815,0.074,48.0,0.62,10.8,5
0.37,0.063,12.0,0.81,11.2,7
0.685,0.088,9.0,0.62,9.4,5
0.35,0.083,11.0,0.5,9.5,5
0.58,0.058,8.0,0.49,11.7,5
0.61,0.074,13.0,0.65,9.8,5
0.81,0.076,34.0,0.42,9.2,5
0.63,0.096,17.0,0.63,10.2,6
0.33,0.079,9.0,0.54,12.0,6
0.47,0.034,18.0,0.62,12.8,6
0.96,0.082,5.0,0.44,11.9,6
0.59,0.09,35.0,0.7,9.5,6
0.48,0.068,6.0,0.53,10.3,5
0.39,0.058,10.0,0.74,9.8,5
0.31,0.082,26.0,0.59,12.5,7
0.7,0.067,8.0,0.52,12.6,5
0.63,0.097,14.0,0.58,9.0,6
0.53,0.171,6.0,0.61,9.4,6
0.3,0.067,12.0,0.97,10.1,6
0.57,0.19,12.0,0.6,9.4,6
0.54,0.097,24.0,0.61,9.4,5
0.41,0.076,22.0,0.89,9.9,6
0.42,0.073,6.0,0.61,9.2,6
0.39,0.075,14.0,0.84,11.4,6
0.21,0.066,40.5,0.59,11.9,6
0.565,0.093,16.0,0.61,9.5,5
0.26,0.085,10.0,0.61,11.8,5
0.42,0.08,26.0,1.07,9.7,5
0.69,0.114,3.0,0.6,9.7,6
0.74,0.1,6.0,0.59,11.0,5
0.43,0.092,13.0,0.64,10.0,7
0.28,0.08,10.0,0.89,9.4,6
0.53,0.064,15.0,0.61,12.1,6
0.765,0.064,9.0,0.55,9.4,5
0.35,0.068,9.0,0.6,11.9,6
0.53,0.121,6.0,0.74,11.5,7
0.28,0.104,10.0,0.68,10.6,5
0.3,0.095,9.0,0.77,10.8,7
0.655,0.083,15.0,0.66,9.8,5
0.41,0.084,26.0,0.64,10.1,6
0.75,0.086,12.0,0.52,10.1,5
0.33,0.074,29.0,0.88,12.4,7
0.38,0.121,7.0,0.76,10.4,6
0.28,0.093,6.0,0.62,12.4,7
0.67,0.061,26.0,0.82,10.9,6
0.37,0.413,9.0,1.06,9.1,6
0.33,0.081,6.0,0.48,10.4,6
0.32,0.086,5.0,0.44,10.1,5
0.41,0.055,12.0,0.79,13.3,7
0.41,0.103,19.0,0.76,11.3,6
0.41,0.079,21.0,0.55,9.5,6
0.28,0.067,7.0,0.55,12.3,7
0.98,0.061,20.0,0.55,9.7,3
0.745,0.118,30.0,0.66,9.4,5
0.46,0.077,28.0,0.64,10.4,6
0.44,0.1,18.0,0.67,9.4,5
0.31,0.216,5.0,0.81,12.5,7
0.685,0.058,5.0,0.55,10.9,4
0.35,0.062,5.0,0.79,10.6,5
0.645,0.086,14.0,0.46,10.3,5
0.45,0.084,21.0,0.57,9.7,5
0.735,0.081,13.0,0.57,9.8,5
0.47,0.085,6.0,0.68,12.7,6
0.51,0.072,13.0,0.84,11.2,6
0.29,0.063,13.0,0.84,11.7,7
0.46,0.122,4.0,0.7,10.2,5
0.56,0.104,12.0,0.93,9.5,5
0.625,0.08,27.0,1.12,9.1,4
0.36,0.081,32.0,0.72,11.0,6
0.48,0.089,10.0,0.68,11.2,7
0.47,0.114,7.0,0.63,10.5,5
0.32,0.341,17.0,1.08,9.2,6
0.35,0.07,5.0,0.65,11.0,8
0.36,0.074,9.0,0.76,12.0,6
0.63,0.093,51.0,0.45,9.5,5
0.315,0.079,3.0,0.67,11.9,6
0.43,0.073,29.0,0.58,10.5,6
0.54,0.088,23.0,0.74,9.2,6
0.785,0.104,14.0,0.55,10.7,6
0.715,0.064,31.0,0.57,11.8,6
0.37,0.066,7.0,0.6,13.0,7
0.67,0.05,5.0,0.52,9.5,5
0.4,0.076,30.0,0.48,9.4,6
0.785,0.122,37.0,0.69,9.3,5
0.715,0.076,10.0,0.64,9.4,5
0.645,0.086,5.0,0.55,9.6,6
0.51,0.084,13.0,0.54,10.5,6
0.6,0.074,16.0,0.7,9.9,6
0.45,0.075,3.0,0.63,10.4,5
0.665,0.066,27.0,0.51,9.3,5
0.56,0.102,37.0,0.65,10.1,5
0.65,0.066,8.0,0.67,9.5,6
0.56,0.078,10.0,0.49,9.9,5
0.7,0.076,13.0,0.6,11.9,6
0.98,0.078,35.0,0.48,9.4,5
0.52,0.081,10.0,0.5,11.0,5
0.59,0.084,25.0,0.56,9.7,5
0.52,0.06,12.0,0.64,11.8,6
0.38,0.068,23.0,0.72,12.9,7
0.12,0.075,10.0,0.76,11.9,7
0.26,0.071,6.0,0.82,9.3,6
0.695,0.076,12.0,0.54,10.1,5
0.785,0.094,19.0,0.52,9.56666666666667,6
0.6,0.1,5.0,0.74,11.9,6
0.24,0.075,6.0,1.02,10.8,7
0.975,0.087,12.0,0.6,9.4,4
0.635,0.241,6.0,0.59,10.3,6
0.36,0.079,26.0,0.62,9.5,6
0.45,0.069,3.0,0.56,9.2,5
0.61,0.071,16.0,0.77,11.1,6
0.46,0.071,12.0,0.56,9.0,6
0.6,0.07,36.0,0.49,9.4,5
0.41,0.089,6.0,0.81,10.8,6
0.5,0.071,17.0,0.8,10.5,5
0.82,0.07,36.0,0.58,9.8,5
0.69,0.084,8.0,0.47,9.7,5
0.56,0.089,15.0,0.92,10.0,6
0.34,0.08,12.0,0.47,9.0,6
0.585,0.078,5.0,0.48,9.8,6
0.58,0.076,23.0,0.58,9.5,6
0.57,0.082,23.0,0.55,9.4,5
0.36,0.152,6.0,1.05,9.4,5
0.655,0.074,8.0,0.55,9.7,5
0.31,0.053,36.0,1.62,9.5,5
0.28,0.052,4.0,0.7,12.8,7
0.32,0.093,15.0,0.61,10.6,5
0.69,0.091,15.0,0.6,11.3,6
0.645,0.083,8.0,0.6,10.0,6
0.29,0.092,25.0,0.61,10.1,6
0.725,0.083,10.0,0.56,10.0,6
0.53,0.078,28.0,0.57,9.5,5
0.73,0.059,15.0,0.57,11.0,5
0.53,0.058,18.0,0.68,9.9,6
0.49,0.11,20.0,1.95,9.9,6
0.31,0.06,3.0,0.83,10.9,7
0.715,0.068,30.0,0.65,11.4,6
0.52,0.07,10.0,0.57,10.0,5
0.48,0.085,19.0,0.61,10.5,6
0.5,0.178,6.0,0.87,9.8,6
0.49,0.079,13.0,0.64,9.8,6
0.39,0.066,3.0,0.58,9.4,5
0.78,0.077,6.0,0.56,10.6,6
0.41,0.081,22.0,0.75,11.1,6
0.725,0.086,4.0,0.39,10.9,5
0.59,0.071,21.0,0.63,9.5,5
0.58,0.062,37.0,0.76,11.6,7
0.685,0.092,3.0,0.65,9.55,6
0.53,0.077,3.0,0.46,9.8,5
0.43,0.071,28.0,0.71,10.5,5
0.75,0.11,34.0,0.45,9.3,5
0.51,0.077,21.0,0.96,12.1,6
0.44,0.049,24.0,0.57,11.7,6
0.605,0.073,40.0,0.52,9.4,6
0.67,0.072,31.0,0.68,11.0666666666667,6
0.46,0.077,18.0,0.6,10.6,6
0.795,0.096,11.0,0.83,9.4,6
0.33,0.084,5.0,0.74,11.2,7
0.58,0.071,5.0,0.63,10.0,6
0.63,0.235,66.0,0.56,9.5,5
0.4,0.082,8.0,0.69,10.6,6
0.37,0.097,39.0,1.03,9.3,5
0.44,0.07,32.0,0.58,11.4,6
0.38,0.096,16.0,0.7,10.0,7
0.42,0.107,7.0,0.93,11.8,6
0.38,0.098,12.0,0.61,10.3,5
0.36,0.075,15.0,0.52,12.7,6
0.36,0.074,24.0,0.85,11.0,7
0.32,0.132,17.0,0.77,11.5,6
1.58,0.137,5.0,0.4,10.9,3
0.21,0.067,6.0,0.58,11.1,7
0.655,0.078,7.0,0.39,9.5,5
0.34,0.058,9.0,0.55,11.4,5
0.68,0.078,12.0,0.7,9.9,6
0.72,0.123,6.0,0.58,9.8,5
0.56,0.078,17.0,0.6,10.5,6
0.2,0.054,7.0,0.8,11.9,7
0.53,0.074,9.0,0.48,9.8,6
0.56,0.082,10.0,0.44,9.6,5
0.56,0.084,18.0,0.63,10.0,6
0.41,0.072,10.0,0.79,12.2,7
0.46,0.126,24.0,0.74,9.6,5
0.51,0.074,9.0,0.56,9.5,6
0.48,0.054,19.0,0.62,12.2,7
0.55,0.062,39.0,0.76,11.2,6
0.39,0.091,6.0,0.49,9.5,5
0.54,0.049,5.0,0.58,11.4,5
0.54,0.071,16.0,0.62,9.4,5
0.78,0.059,5.0,0.56,11.3,5
0.28,0.062,18.0,0.9,11.3,7
0.64,0.081,14.0,0.66,9.8,5
0.8,0.083,8.0,0.65,10.4,6
0.61,0.27,23.0,1.02,9.3,5
0.32,0.077,3.0,0.78,9.6,5
0.55,0.387,12.0,0.67,9.6,5
0.52,0.078,19.0,0.48,10.2,5
0.69,0.08,33.0,0.51,9.9,5
0.5,0.071,17.0,0.8,10.5,5
0.715,0.064,31.0,0.57,11.8,6
0.36,0.095,19.0,0.57,11.7,6
0.53,0.039,5.0,0.86,12.4,6
0.61,0.081,17.0,0.6,9.7,6
0.54,0.081,25.0,0.71,11.4,6
0.625,0.101,13.0,0.57,11.0,5
0.34,0.079,6.0,0.63,10.7,5
0.48,0.127,6.0,0.72,11.2,5
0.26,0.078,6.0,1.04,10.9,7
0.2,0.343,6.0,0.71,10.5,5
0.12,0.075,10.0,0.76,11.9,7
0.58,0.081,15.0,0.59,9.5,5
0.28,0.061,6.0,0.74,11.8,7
0.41,0.104,29.0,0.58,9.1,5
0.52,0.076,21.0,0.6,9.8,5
0.915,0.088,7.0,0.47,10.0,4
0.76,0.075,12.0,0.68,11.5,6
0.78,0.081,45.0,0.53,10.0,5
0.59,0.065,3.0,0.92,10.5,7
0.57,0.07,27.0,0.48,9.2,5
0.36,0.111,5.0,0.62,11.3,6
0.66,0.083,21.0,0.71,11.5,7
0.49,0.044,28.0,0.82,14.0,8
0.51,0.064,12.0,0.59,12.8,6
0.59,0.056,5.0,0.56,11.4,5
0.7,0.099,14.0,0.7,9.4,5
0.875,0.088,4.0,0.52,11.5,5
0.42,0.071,18.0,0.56,10.9,5
0.91,0.058,22.0,0.43,10.7,6
0.4,0.087,10.0,0.77,10.5,7
0.57,0.048,4.0,0.76,10.8,6
0.42,0.073,6.0,0.61,9.2,6
0.745,0.09,16.0,0.82,9.6,5
0.9,0.052,9.0,0.63,10.9,6
0.45,0.075,3.0,0.63,10.4,5
0.34,0.057,43.0,0.81,12.0,6
0.29,0.048,35.0,1.01,12.4,7
0.35,0.058,31.0,0.82,10.6,7
0.39,0.082,14.0,0.55,9.2,5
0.885,0.166,6.0,0.51,10.8,5
0.28,0.082,12.0,1.36,9.8,7
0.62,0.086,6.0,0.69,13.4,8
1.185,0.097,5.0,0.54,10.7,3
0.45,0.084,21.0,0.57,9.7,5
0.6,0.055,7.0,0.56,10.8,5
0.58,0.074,10.0,0.57,9.0,3
0.6,0.085,6.0,0.59,9.2,6
0.49,0.071,14.0,0.63,12.0,6
0.67,0.08,22.0,0.74,9.7,5
0.36,0.081,32.0,0.72,11.0,6
0.56,0.104,12.0,0.93,9.5,5
0.705,0.076,6.0,0.58,10.7,5
0.57,0.067,4.0,0.68,9.5,5
0.53,0.123,14.0,0.67,11.0,4
0.49,0.094,9.0,0.58,9.0,5
0.51,0.07,12.0,0.73,9.5,6
1.025,0.08,21.0,0.57,10.1,5
0.55,0.087,20.0,0.61,9.4,5
0.86,0.1,20.0,0.74,11.7,6
0.37,0.08,3.0,0.58,11.0,5
0.44,0.107,5.0,0.83,11.5,5
0.53,0.077,3.0,0.46,9.8,5
0.475,0.091,6.0,0.65,10.0333333333333,6
0.5,0.205,48.0,0.75,8.8,5
0.49,0.082,17.0,0.55,9.5,5
0.44,0.074,38.0,0.85,12.0,7
0.43,0.085,9.0,0.55,9.5,5
0.26,0.066,6.0,0.87,10.9,6
0.6,0.058,5.0,0.63,10.4,6
0.54,0.077,11.0,0.61,10.0,6
0.295,0.073,14.0,0.51,10.9,6
0.5,0.078,10.0,0.61,10.4,5
0.36,0.087,6.0,0.72,11.1,7
0.54,0.111,7.0,0.98,10.2,5
0.87,0.096,26.0,0.72,9.8,4
0.45,0.074,12.0,0.83,10.5,5
0.36,0.086,24.0,0.53,10.1,6
0.54,0.076,16.0,0.61,9.4,5
0.64,0.08,11.0,0.7,10.9,5
0.77,0.082,30.0,0.64,10.4,6
0.43,0.069,13.0,0.54,9.9,6
0.61,0.2,5.0,0.63,8.4,3
0.52,0.61,32.0,2.0,9.4,4
0.29,0.084,19.0,0.73,11.9,6
0.35,0.067,28.0,0.54,10.0,4
0.875,0.082,3.0,0.52,10.2,3
0.44,0.083,18.0,0.6,9.5,5
0.645,0.097,15.0,0.58,9.2,6
0.645,0.095,10.0,0.74,11.1,5
0.44,0.078,26.0,0.58,9.2,5
0.64,0.066,9.0,0.78,10.6,5
0.21,0.09,9.0,0.67,10.4,5
0.22,0.078,1.0,0.87,10.3,6
0.27,0.082,9.0,0.52,12.5,7
0.38,0.157,5.0,1.05,9.4,5
0.65,0.11,11.0,0.64,10.4,6
0.885,0.086,7.0,0.46,10.0,5
0.53,0.072,15.0,0.54,9.4,6
0.24,0.056,11.0,0.87,8.7,6
0.34,0.067,8.0,0.56,12.0,6
0.28,0.092,35.0,0.75,10.5,7
0.57,0.077,11.0,0.62,10.8,6
0.57,0.048,13.0,0.6,12.8,5
0.4,0.083,30.0,0.58,10.0,5
0.6,0.068,20.0,1.17,10.2,5
0.58,0.114,3.0,0.57,10.3,4
0.53,0.071,15.0,0.66,10.8,6
0.58,0.085,12.0,0.7,11.0,6
0.26,0.076,8.0,0.7,9.6,6
0.715,0.161,7.0,0.61,11.0,5
0.43,0.07,29.0,0.72,10.5,5
0.43,0.085,6.0,0.46,11.9,6
0.46,0.073,7.0,0.54,11.4,5
0.58,0.12,3.0,0.58,11.2,6
0.7,0.226,5.0,0.6,9.0,6
0.38,0.098,6.0,0.64,11.4,6
0.67,0.084,6.0,0.71,9.5,6
0.29,0.063,3.0,0.54,13.5,6
0.45,0.073,7.0,0.69,10.9,6
0.66,0.086,17.0,0.54,9.5,5
0.43,0.092,14.0,0.73,10.0,6
0.585,0.078,15.0,0.54,9.8,5
0.26,0.06,20.0,0.54,9.6,5
0.38,0.056,15.0,0.76,11.3,8
0.35,0.061,6.0,0.52,12.0,6
0.47,0.085,17.0,0.6,9.8,5
0.695,0.075,3.0,0.52,9.2,5
0.55,0.076,19.0,0.59,10.1,5
0.22,0.065,16.0,0.82,10.0,6
0.62,0.076,8.0,0.53,9.0,5
0.67,0.093,11.0,0.59,9.2,4
0.49,0.071,13.0,0.83,11.3,6
0.54,0.214,55.0,0.77,9.0,6
0.56,0.083,13.0,0.52,9.9,5
0.29,0.067,8.0,0.6,10.5,5
0.51,0.107,6.0,0.66,11.8,7
0.68,0.087,5.0,0.6,10.2,5
0.59,0.071,21.0,0.63,9.5,5
0.41,0.093,9.0,0.66,10.5,5
0.44,0.114,6.0,0.66,13.4,6
0.67,0.08,8.0,0.71,9.6,5
0.44,0.369,15.0,1.1,9.4,5
0.5,0.073,5.0,0.64,9.5,5
0.58,0.077,7.0,0.52,10.0,5
0.6,0.118,9.0,0.53,9.8,5
0.72,0.096,20.0,0.53,9.5,5
0.45,0.066,6.0,0.66,11.2,6
0.77,0.082,30.0,0.64,10.4,6
0.5,0.071,12.0,0.72,9.6,6
0.775,0.079,12.0,0.51,9.6,5
1.02,0.083,17.0,0.55,11.2,4
0.59,0.07,35.0,0.49,9.4,5
0.735,0.122,68.0,0.53,9.9,5
0.5,0.086,5.0,0.62,11.5,6
0.66,0.094,12.0,0.66,10.1,5
0.32,0.098,3.0,0.55,12.3,6
0.49,0.062,9.0,0.64,9.6,5
0.63,0.078,18.0,0.75,9.8,5
1.24,0.079,32.0,0.53,9.5,5
1.04,0.084,13.0,0.55,9.9,6
0.78,0.093,10.0,0.47,10.0,5
0.35,0.073,23.0,0.79,11.1,6
0.58,0.091,34.0,0.48,10.5,5
0.43,0.068,13.0,0.87,11.4,6
0.675,0.089,17.0,0.54,10.1,5
0.895,0.068,7.0,0.58,10.8,6
0.37,0.038,21.0,0.81,10.8,7
0.5,0.103,6.0,0.52,10.0,4
0.84,0.096,5.0,0.57,11.0,4
0.38,0.066,13.0,0.73,9.7,7
0.3,0.06,19.0,0.72,11.8,6
0.635,0.08,16.0,0.69,10.8,7
0.915,0.041,17.0,0.73,11.4,5
0.725,0.117,9.0,0.49,10.8,6
1.02,0.045,41.0,0.48,10.5,4
0.715,0.089,10.0,0.77,9.5,5
0.47,0.171,27.0,0.76,10.8,6
0.52,0.096,5.0,0.52,9.4,5
0.61,0.095,48.0,0.7,11.5,6
0.55,0.074,21.0,0.56,9.2,5
0.66,0.039,4.0,0.47,9.4,5
0.35,0.076,11.0,0.81,11.0,6
0.49,0.072,10.0,0.78,12.5,7
0.71,0.08,14.0,0.55,9.4,5
1.04,0.05,32.0,0.62,11.5,5
0.26,0.083,42.0,0.63,11.8,8
0.64,0.081,15.0,0.63,12.0,5
0.73,0.074,5.0,0.52,9.5,5
0.39,0.066,22.0,0.84,11.5,6
0.39,0.086,9.0,0.66,11.6,6
0.42,0.085,9.0,0.77,12.1,7
0.56,0.065,15.0,0.68,10.55,7
0.44,0.091,10.0,0.69,11.9,6
0.64,0.1,8.0,0.58,9.6,5
0.59,0.082,11.0,0.7,9.3,6
0.67,0.054,6.0,0.47,10.0,5
0.39,0.071,14.0,0.87,11.2,7
0.62,0.062,7.0,0.6,9.3,5
0.43,0.082,27.0,0.64,10.4,5
0.43,0.075,10.0,0.46,9.4,5
0.36,0.074,24.0,0.85,11.0,7
0.48,0.111,6.0,0.66,11.7,6
0.965,0.088,16.0,0.67,10.2,5
0.7,0.226,5.0,0.6,9.0,6
0.36,0.075,18.0,0.88,13.6,7
0.44,0.064,14.0,0.57,10.4,6
0.4,0.059,6.0,0.6,9.3,6
0.59,0.101,20.0,0.67,9.6,5
0.65,0.07,13.0,0.6,9.1,5
0.58,0.088,12.0,0.56,10.5,7
0.28,0.069,6.0,0.66,9.2,5
0.58,0.102,28.0,0.49,9.8,6
0.31,0.194,14.0,0.78,12.0,6
0.47,0.055,14.0,0.8,11.2,5
0.26,0.08,11.0,0.8,9.4,6
0.735,0.092,10.0,0.71,9.8,6
0.84,0.065,24.0,0.55,9.7,5
0.6,0.075,5.0,0.57,11.4,5
0.56,0.114,14.0,0.66,9.6,6
0.58,0.088,12.0,0.56,10.5,7
0.69,0.086,23.0,0.74,11.6,6
0.46,0.093,19.0,0.63,9.5,6
0.75,0.086,9.0,0.64,10.5,5
0.755,0.148,10.0,1.36,10.2,6
0.59,0.08,17.0,0.52,9.9,5
0.49,0.081,3.0,0.78,10.9,6
0.725,0.076,8.0,0.53,9.6,5
0.66,0.097,9.0,0.54,9.6,5
0.43,0.052,6.0,0.7,12.5,6
0.91,0.06,4.0,0.64,10.9,4
0.5,0.205,48.0,0.75,8.8,5
0.33,0.093,54.0,0.76,10.7,7
0.24,0.075,10.0,0.61,10.4,5
0.61,0.073,24.0,0.53,9.8,5
0.35,0.076,11.0,0.81,11.0,6
0.39,0.065,34.0,0.78,9.9,5
0.42,0.06,19.0,0.74,14.0,8
0.34,0.055,3.0,0.66,11.6,7
0.5,0.06,17.0,0.58,9.8,6
0.42,0.073,19.0,0.61,9.5,5
0.64,0.168,52.0,0.5,9.5,5
0.395,0.056,14.0,0.67,12.4,6
0.4,0.078,29.0,0.59,9.5,6
0.54,0.124,6.0,0.83,11.8,7
0.36,0.09,6.0,0.62,9.2,6
0.49,0.074,27.0,0.58,9.0,5
0.47,0.076,30.0,0.53,9.4,5
0.64,0.075,14.0,0.58,10.4,6
0.825,0.084,5.0,0.77,10.7,6
0.695,0.076,12.0,0.54,10.1,5
0.43,0.062,6.0,0.72,11.5,7
0.5,0.069,21.0,0.72,11.5,6
0.36,0.152,7.0,1.06,9.4,5
0.69,0.075,15.0,0.61,9.1,5
0.665,0.09,8.0,0.73,9.3,5
0.65,0.05,6.0,0.54,11.95,5
0.26,0.076,8.0,0.7,9.6,6
0.6,0.071,14.0,0.54,11.0,5
1.035,0.073,11.0,0.49,9.9,5
0.29,0.062,9.0,0.53,9.5,6
0.62,0.071,27.0,0.61,9.2,5
0.785,0.094,19.0,0.52,9.6,6
0.39,0.095,17.0,0.61,10.8,6
0.57,0.076,9.0,0.7,9.6,6
0.935,0.114,22.0,0.73,9.2,5
0.55,0.075,15.0,0.59,9.7,6
0.58,0.059,20.0,0.64,10.2,6
0.38,0.071,5.0,0.75,10.5,6
0.6,0.063,11.0,0.56,12.2,6
0.47,0.064,18.0,0.65,9.6,6
0.51,0.042,16.0,0.87,12.9,7
0.6,0.079,24.0,0.61,10.9,6
0.53,0.077,24.0,0.68,10.3,6
0.26,0.08,11.0,0.8,9.4,6
1.09,0.061,12.0,0.43,11.4,4
0.18,0.104,4.0,0.97,10.1,6
0.38,0.081,5.0,0.54,9.4,5
0.44,0.074,38.0,0.85,12.0,7
0.66,0.087,3.0,0.63,12.8,7
0.785,0.06,6.0,0.61,10.0,4
0.725,0.117,9.0,0.49,10.8,6
0.5,0.088,21.0,0.83,11.1,6
0.34,0.05,27.0,0.79,14.0,6
0.675,0.09,4.0,0.65,9.55,5
0.84,0.074,16.0,0.72,9.23333333333333,6
0.66,0.052,6.0,0.66,12.7,7
0.49,0.236,10.0,0.8,9.3,5
0.78,0.415,12.0,1.17,9.2,5
0.78,0.089,13.0,0.46,9.6,4
0.58,0.073,9.0,0.57,9.5,7
