volatile acidity,chlorides,free sulfur dioxide,sulphates,alcohol,quality
0.52,0.08,6.0,0.76,11.4,6
0.29,0.067,72.0,0.54,10.3,6
0.36,0.096,22.0,0.84,14.9,5
1.33,0.082,3.0,0.48,10.9,5
0.54,0.05,38.0,0.5,10.55,6
0.7,0.106,14.0,0.58,10.2,5
0.42,0.088,16.0,0.55,9.2,5
0.645,0.082,8.0,0.59,9.8,6
0.69,0.088,22.0,0.62,10.1,5
0.46,0.065,4.0,0.62,12.2,6
0.36,0.067,4.0,0.55,12.8,7
0.66,0.066,7.0,0.58,12.9,5
0.63,0.08,17.0,0.58,9.8,6
1.18,0.083,14.0,0.47,10.5,5
0.4,0.097,6.0,0.82,11.7,7
0.41,0.078,6.0,0.58,11.2,5
0.31,0.078,17.0,0.77,12.5,7
0.63,0.083,8.0,0.73,9.6,5
0.5,0.088,21.0,0.83,11.1,6
0.5,0.25,5.0,0.79,10.7,6
0.63,0.097,14.0,0.58,9.0,6
0.36,0.06,21.0,0.82,11.0,7
0.45,0.073,25.0,0.76,10.3,6
0.44,0.063,9.0,0.65,10.8,6
0.42,0.105,33.0,0.95,9.2,5
0.61,0.09,25.0,0.62,9.7,5
0.635,0.073,25.0,0.75,10.9,6
0.62,0.079,8.0,0.58,9.3,6
0.28,0.081,28.0,0.66,11.2,5
0.58,0.064,7.0,0.58,11.3,6
0.59,0.082,24.0,0.53,9.7,6
0.39,0.08,8.0,0.82,10.3,6
0.36,0.074,17.0,0.7,11.4,8
0.77,0.079,16.0,0.5,9.8,6
0.4,0.068,41.0,0.86,10.5,6
0.695,0.128,7.0,0.84,12.2,7
0.48,0.094,35.0,0.53,9.2,5
0.52,0.081,10.0,0.5,11.0,5
0.545,0.068,11.0,0.61,11.6,6
0.57,0.079,10.0,0.69,9.5,6
0.645,0.095,10.0,0.74,11.1,5
0.6,0.069,32.0,0.57,10.0,5
0.47,0.048,16.0,0.88,13.5666666666667,7
0.23,0.074,3.0,0.7,9.9,6
0.45,0.043,6.0,0.65,11.4,6
0.55,0.071,7.0,0.55,9.7,5
0.42,0.084,32.0,0.75,8.7,6
0.55,0.091,18.0,0.64,10.3,6
0.64,0.08,11.0,0.7,10.9,5
0.53,0.1,7.0,0.56,10.2,6
0.6,0.086,3.0,0.6,10.8,6
0.66,0.07,16.0,0.6,9.3,5
0.51,0.079,16.0,0.64,9.5,6
0.66,0.084,6.0,0.96,9.9,6
0.22,0.077,29.0,0.53,9.4,6
0.53,0.063,29.0,0.83,10.3,6
0.24,0.055,13.0,0.59,11.3,7
0.83,0.086,26.0,0.52,9.9,5
0.38,0.081,30.0,0.56,9.4,5
0.62,0.077,15.0,0.54,9.5,5
0.58,0.073,34.0,0.43,9.3,5
0.5,0.075,16.0,0.79,9.5,5
0.43,0.109,10.0,0.85,10.4,7
0.69,0.086,23.0,0.74,11.6,6
0.48,0.078,18.0,0.54,11.2,6
0.6,0.056,3.0,0.37,13.0,5
0.56,0.064,5.0,0.87,10.9,5
0.74,0.067,5.0,0.57,11.8,6
0.74,0.086,15.0,0.48,10.0,5
0.6,0.076,18.0,0.55,9.5,5
0.18,0.068,7.0,0.64,10.1,6
0.46,0.071,12.0,0.56,9.0,6
0.51,0.087,23.0,0.74,9.2,5
0.725,0.086,4.0,0.39,10.9,5
0.51,0.11,33.0,0.63,10.2,6
0.44,0.063,10.0,0.53,10.2,6
0.44,0.076,22.0,0.62,9.3,5
0.5,0.065,8.0,0.71,10.5,6
0.855,0.062,15.0,0.6,11.0,6
0.835,0.081,6.0,0.52,9.3,5
0.31,0.078,17.0,0.77,12.5,7
0.61,0.082,26.0,0.51,9.4,5
0.725,0.073,29.0,0.54,9.2,5
0.4,0.087,6.0,0.5,10.5,5
0.59,0.078,26.0,0.68,10.8,6
0.69,0.08,33.0,0.51,9.9,5
0.75,0.059,11.0,0.4,12.8,6
0.58,0.153,5.0,1.03,11.6,6
0.37,0.064,4.0,0.8,11.2,6
0.705,0.081,13.0,0.66,10.2,5
0.33,0.084,5.0,0.74,11.2,7
0.4,0.084,7.0,0.67,9.3,6
0.34,0.082,24.0,0.59,9.4,6
0.47,0.067,7.0,0.58,10.9,4
0.815,0.072,17.0,0.89,12.3,7
0.28,0.105,5.0,0.63,9.5,5
0.785,0.093,11.0,0.86,9.4,6
0.65,0.089,17.0,0.55,9.5,5
0.5,0.062,21.0,0.55,12.3,6
0.41,0.084,26.0,0.64,10.1,6
0.59,0.09,26.0,0.63,10.2,6
0.56,0.078,7.0,0.62,9.3,5
0.67,0.107,6.0,0.63,10.1,5
0.51,0.056,15.0,0.57,11.5,6
0.41,0.091,10.0,0.56,10.5,5
0.87,0.107,31.0,0.46,9.2,5
0.19,0.057,18.0,0.69,11.2,6
0.58,0.044,16.0,0.65,12.5,6
0.32,0.061,24.0,0.8,11.6,7
0.68,0.087,21.0,0.52,10.0,5
0.785,0.078,10.0,0.67,10.0,5
1.07,0.178,10.0,0.57,9.0,5
0.33,0.073,7.0,0.62,12.1,7
0.765,0.243,5.5,0.6,10.3,6
0.46,0.071,6.0,0.87,10.2,5
0.735,0.071,10.0,0.71,11.7,7
0.575,0.077,12.0,0.51,9.2,5
0.79,0.061,11.0,0.65,10.4,6
0.51,0.064,40.0,0.93,10.7,6
0.41,0.083,35.0,0.52,9.4,5
0.84,0.05,4.0,0.48,9.1,6
0.38,0.093,6.0,0.71,10.9,6
0.43,0.075,10.0,0.46,9.4,5
0.685,0.099,9.0,0.6,9.7,5
0.41,0.071,6.0,0.49,11.8,7
0.42,0.116,12.0,0.75,11.7,7
0.61,0.071,16.0,0.77,11.1,6
0.72,0.084,18.0,0.72,11.1,6
0.72,0.136,24.0,0.94,10.0,5
0.56,0.082,10.0,0.44,9.6,5
0.3,0.054,7.0,0.88,10.5,7
0.75,0.078,17.0,0.61,12.8,6
0.43,0.071,28.0,0.71,10.5,5
0.775,0.092,8.0,0.59,9.5,5
0.63,0.088,15.0,0.79,9.3,5
0.31,0.062,13.0,0.66,10.0,6
0.37,0.09,20.0,0.57,10.5,5
0.4,0.058,15.0,0.6,12.2,6
0.63,0.083,17.0,0.58,9.8,6
0.43,0.075,19.0,0.64,9.5,5
0.625,0.088,6.0,0.99,13.3,6
0.705,0.36,15.0,1.59,9.5,5
0.45,0.099,20.0,0.71,10.8,5
0.83,0.095,17.0,0.6,10.4,6
0.5,0.082,5.0,0.52,10.7,6
0.88,0.104,35.0,0.67,11.2,5
0.54,0.076,15.0,0.64,9.8,5
0.76,0.078,6.0,0.63,9.95,3
0.21,0.088,11.0,0.68,11.7,6
0.27,0.1,20.0,0.69,11.2,6
0.5,0.057,15.0,0.45,9.5,5
0.18,0.049,36.0,0.44,12.7,6
0.34,0.082,31.0,0.48,9.4,5
0.5,0.082,12.0,0.62,10.7,6
0.6,0.058,17.0,0.6,12.9,6
0.705,0.084,9.0,0.49,9.7,5
0.82,0.089,9.0,0.63,9.8,5
0.54,0.076,8.0,0.72,13.1,8
0.68,0.072,9.0,1.08,9.2,4
0.48,0.415,14.0,1.06,9.1,6
0.38,0.073,22.0,0.7,9.6,4
0.49,0.068,4.0,0.47,10.5,5
0.31,0.067,18.0,0.66,11.0,6
0.43,0.464,22.0,1.28,9.4,5
0.57,0.104,12.0,0.9,10.1,5
0.675,0.084,11.0,0.53,9.2,4
0.415,0.085,17.0,0.8,10.0,6
0.58,0.102,17.0,0.53,11.2,6
0.48,0.062,31.0,0.65,10.0,7
0.745,0.09,16.0,0.82,9.6,5
0.56,0.079,19.0,0.56,10.1,6
0.4,0.079,19.0,0.64,9.2,5
0.56,0.075,9.0,0.62,9.3,5
0.46,0.414,16.0,1.34,9.2,5
0.5,0.075,8.0,0.56,10.4,6
0.57,0.089,14.0,0.59,10.4,6
0.62,0.08,6.0,0.62,10.1,4
0.54,0.084,12.0,0.71,11.0,5
0.45,0.074,12.0,0.83,10.5,5
0.395,0.094,3.0,0.64,12.2,7
0.62,0.086,28.0,0.62,10.8,5
0.85,0.045,12.0,0.82,12.9,8
0.64,0.094,5.0,0.58,11.0,5
0.6,0.08,31.0,0.52,9.9,5
0.39,0.099,47.0,0.99,9.8,5
0.42,0.094,24.0,0.7,10.8,6
0.64,0.081,14.0,0.66,9.8,5
0.12,0.075,10.0,0.76,11.9,7
0.16,0.059,24.0,0.71,11.2,6
0.38,0.078,12.0,0.52,9.9,6
0.845,0.07,5.0,0.58,11.0,4
0.53,0.063,6.0,0.59,9.3,6
0.48,0.076,29.0,0.6,10.4,5
0.38,0.072,6.0,0.57,9.4,5
0.685,0.077,6.0,0.7,10.1,6
0.66,0.083,21.0,0.71,11.5,7
0.29,0.096,21.0,0.67,10.1,6
0.41,0.11,11.0,0.67,10.8,5
0.31,0.111,26.0,0.53,9.7,5
0.69,0.124,21.0,0.72,10.2,5
0.43,0.078,21.0,0.6,9.5,6
0.37,0.085,5.0,0.65,10.6,7
0.28,0.012,36.0,0.39,11.7,7
0.58,0.066,21.0,0.54,9.4,6
0.47,0.048,16.0,0.88,13.6,7
0.61,0.067,10.0,0.59,9.5,5
0.26,0.066,6.0,0.87,10.9,6
0.76,0.092,15.0,0.65,9.8,5
0.63,0.076,14.0,0.53,10.8,6
0.42,0.092,23.0,0.64,12.3,7
0.36,0.087,26.0,0.68,11.0,5
0.34,0.09,43.0,0.79,11.1,5
0.52,0.081,14.0,0.65,9.0,6
0.54,0.112,11.0,0.56,10.9,5
0.96,0.047,15.0,0.44,10.9,5
0.3,0.05,37.5,0.51,12.3,7
0.58,0.1,50.0,0.68,11.4,6
0.59,0.337,27.0,1.61,9.5,6
0.58,0.08,27.0,0.47,9.2,5
0.27,0.358,5.0,1.08,9.9,7
0.28,0.075,17.0,0.58,9.8,6
0.49,0.062,9.0,0.64,9.6,5
0.16,0.068,17.0,0.54,12.4,6
0.66,0.087,3.0,0.63,12.8,7
0.835,0.166,4.0,0.52,10.0,5
0.305,0.059,7.0,0.52,11.5,6
0.66,0.078,16.0,0.57,9.7,5
0.37,0.08,3.0,0.58,11.0,5
0.63,0.08,12.0,0.66,9.8,5
0.685,0.082,23.0,0.55,9.4,5
0.39,0.095,21.0,0.51,9.5,5
0.25,0.088,15.0,0.9,10.0,6
0.59,0.06,11.0,0.59,10.8,7
0.4,0.061,9.0,0.49,11.3,7
0.61,0.094,30.0,0.5,10.0,6
0.27,0.05,4.0,0.64,11.0,7
0.52,0.091,20.0,0.86,10.6,7
0.5,0.119,34.0,0.72,10.9,6
0.24,0.083,25.0,0.54,9.2,5
0.4,0.046,29.0,0.66,13.6,6
0.705,0.074,8.0,0.95,10.5,6
0.34,0.078,20.0,0.7,10.0,6
0.23,0.046,23.0,0.71,12.1,6
0.61,0.08,8.0,0.73,10.5,5
0.43,0.078,27.0,0.59,11.1,6
0.27,0.072,15.0,0.66,12.8,6
0.46,0.114,9.0,0.65,9.8,5
0.4,0.125,15.0,0.81,9.7,6
0.48,0.102,13.0,0.56,10.0,6
0.37,0.079,28.0,0.59,9.8,5
0.64,0.067,9.0,0.67,9.4,6
0.545,0.087,27.0,0.67,10.7,6
0.58,0.076,23.0,0.58,9.5,6
0.85,0.093,13.0,0.54,10.1,5
0.67,0.057,11.0,0.56,11.8,4
0.6,0.095,25.0,0.54,10.1,5
0.29,0.084,23.0,0.68,11.4,7
0.37,0.082,6.0,0.51,9.5,5
0.42,0.075,22.0,0.78,10.0,6
0.52,0.054,8.0,0.56,13.1,4
0.645,0.053,5.0,0.42,10.0,6
0.835,0.092,10.0,0.47,9.6,5
0.18,0.062,7.0,0.7,11.1,5
0.46,0.092,28.0,0.56,9.2,5
0.59,0.089,12.0,0.54,9.4,5
0.38,0.073,31.0,0.59,9.5,6
0.4,0.099,19.0,0.58,10.4,5
0.43,0.082,6.0,0.54,12.2,6
0.34,0.082,6.0,0.66,9.2,6
0.6,0.09,32.0,0.58,10.5,5
0.18,0.104,4.0,0.97,10.1,6
0.28,0.052,4.0,0.7,12.8,7
0.57,0.082,6.0,0.78,10.7,6
0.6,0.085,14.0,0.66,9.8,5
0.44,0.059,5.0,0.67,10.2,6
0.36,0.062,5.0,0.67,10.5,6
0.77,0.066,34.0,0.68,9.9,5
0.83,0.074,4.0,0.45,9.6,5
0.61,0.069,4.0,0.37,10.4,4
0.46,0.091,18.0,0.51,9.4,5
0.4,0.081,17.0,0.65,11.2,6
0.42,0.104,28.0,0.57,9.1,5
0.35,0.11,12.0,0.7,12.0,7
0.57,0.077,11.0,0.62,10.8,6
0.52,0.07,13.0,0.72,12.5,7
0.63,0.097,14.0,0.58,9.0,6
0.45,0.081,34.0,0.58,9.8,5
0.61,0.076,36.0,0.4,9.3,5
0.65,0.089,17.0,0.55,9.5,5
0.44,0.092,11.0,0.99,12.0,7
0.31,0.063,18.0,0.51,9.8,6
0.77,0.098,30.0,0.58,9.2,5
0.49,0.11,20.0,1.95,9.9,6
0.28,0.067,26.0,1.04,10.6,6
0.42,0.048,16.0,0.74,14.0,7
0.38,0.068,12.0,0.75,12.6,7
0.34,0.065,5.0,0.54,11.2,7
0.36,0.08,41.0,0.73,10.9,6
0.73,0.108,18.0,0.59,9.3,5
0.69,0.091,15.0,0.6,11.3,6
0.46,0.064,5.0,0.73,11.0,6
0.34,0.082,6.0,0.66,9.2,6
0.32,0.094,28.0,0.82,9.6,5
0.42,0.044,18.0,0.73,13.6,7
0.34,0.064,21.0,0.77,12.1,7
0.81,0.07,6.0,0.66,10.8,6
0.615,0.083,7.0,0.73,10.0,7
0.31,0.066,14.0,0.56,12.6,6
0.39,0.118,6.0,0.75,9.8,6
0.39,0.107,34.0,1.22,9.5,5
0.605,0.073,19.0,0.55,12.9,5
0.755,0.084,6.0,0.49,9.7,4
0.59,0.063,34.0,0.67,9.7,5
0.31,0.109,7.0,0.79,11.8,7
1.02,0.084,6.0,0.49,11.0,3
0.61,0.084,11.0,0.61,10.2,6
0.59,0.087,13.0,0.65,11.0,6
0.24,0.061,52.0,0.9,10.2,6
0.4,0.085,38.0,0.55,9.4,5
0.46,0.092,14.0,0.74,10.0,6
0.43,0.08,26.0,0.62,9.5,6
0.41,0.078,25.0,0.77,12.6,7
0.63,0.099,21.0,0.52,9.3,5
0.635,0.403,19.0,1.15,9.3,5
0.74,0.041,16.0,0.59,12.5,6
0.56,0.081,15.0,0.54,9.5,5
0.45,0.078,10.0,0.51,9.9,6
0.4,0.092,29.0,0.7,10.3,6
0.61,0.057,5.0,0.6,9.5,5
0.57,0.12,25.0,0.71,11.3,7
0.32,0.056,9.0,0.82,10.3,7
0.62,0.068,24.0,0.57,11.5,6
0.28,0.054,17.0,0.67,10.6,7
0.34,0.075,41.0,0.54,10.1,6
0.34,0.086,8.0,0.6,11.4,6
0.57,0.072,17.0,0.61,10.2,5
0.63,0.076,15.0,0.54,9.5,6
0.33,0.07,9.0,0.77,12.7,7
0.29,0.067,25.0,1.36,10.3,6
0.49,0.084,9.0,0.53,9.4,5
0.46,0.061,7.0,0.62,9.5,5
0.31,0.075,6.0,0.79,8.4,6
0.26,0.08,11.0,0.8,9.4,6
0.4,0.084,7.0,0.67,9.3,6
0.53,0.165,4.0,0.86,9.2,5
0.27,0.082,6.0,0.67,9.7,6
0.6,0.072,11.0,0.45,9.3,5
0.7,0.069,8.0,0.53,10.0,6
0.38,0.098,12.0,0.61,10.3,5
0.25,0.067,22.0,0.6,11.9,6
0.43,0.082,27.0,0.64,10.4,5
0.49,0.06,26.0,0.76,10.5,5
0.68,0.07,9.0,0.6,10.3,5
0.62,0.079,6.0,0.63,9.3,5
0.685,0.088,16.0,0.47,9.4,5
0.55,0.119,14.0,0.6,10.9,6
0.56,0.079,6.0,0.54,11.5,6
0.655,0.122,34.0,1.14,9.3,5
0.46,0.076,15.0,0.49,10.7,5
0.63,0.1,14.0,0.62,9.5,5
0.38,0.104,6.0,0.65,11.6,7
0.88,0.098,25.0,0.68,9.8,5
0.56,0.105,16.0,0.52,11.0,5
0.28,0.104,10.0,0.68,10.6,5
0.59,0.082,43.0,0.42,9.2,5
0.36,0.08,35.0,0.5,9.4,5
0.74,0.089,16.0,0.56,11.6,6
0.64,0.095,5.0,0.62,9.1,6
0.59,0.082,24.0,0.53,9.7,6
0.34,0.05,27.0,0.79,14.0,6
0.6,0.103,13.0,0.62,9.5,5
0.41,0.083,35.0,0.52,9.4,5
0.33,0.067,4.0,0.76,12.8,7
0.64,0.1,8.0,0.58,9.6,5
0.615,0.087,6.0,0.61,9.3,5
0.29,0.075,6.0,0.63,11.8,6
1.0,0.065,7.0,0.55,9.0,6
0.54,0.079,39.0,0.84,11.4,6
0.41,0.467,18.0,1.31,9.3,5
0.53,0.086,20.0,0.59,10.7,6
0.67,0.117,32.0,0.62,9.4,5
0.54,0.094,41.0,0.61,9.2,5
0.66,0.074,4.0,0.74,9.2,5
0.41,0.076,22.0,1.16,10.6,6
0.66,0.085,16.0,0.72,11.0,6
0.55,0.071,7.0,0.55,9.7,5
0.32,0.088,12.0,0.55,10.4,6
0.38,0.088,10.0,0.68,9.8,6
0.6,0.079,24.0,0.61,10.9,6
0.4,0.05,3.0,0.56,12.0,4
0.685,0.067,40.0,0.81,9.9,5
0.5,0.084,15.0,0.55,9.5,5
0.5,0.068,6.0,0.64,9.4,6
0.33,0.077,18.0,0.65,9.3,5
0.67,0.091,12.0,0.54,9.5,6
0.88,0.086,30.0,0.53,9.4,5
0.27,0.065,7.0,0.53,12.5,6
0.22,0.078,1.0,0.87,10.3,6
0.55,0.082,15.0,0.68,10.5,5
0.47,0.084,24.0,0.61,9.4,5
0.29,0.063,13.0,0.84,11.7,7
0.61,0.077,11.0,0.58,9.3,5
0.74,0.094,10.0,0.5,9.8,5
0.605,0.096,10.0,0.53,11.8,6
0.715,0.053,13.0,0.5,11.9,5
0.35,0.092,20.0,0.43,9.4,5
0.735,0.08,18.0,0.6,9.4,5
0.46,0.074,32.0,0.62,9.8,5
0.36,0.122,10.0,0.66,12.5,6
0.27,0.074,6.0,1.13,12.0,7
0.39,0.069,18.0,0.81,10.9,7
0.6,0.079,28.0,0.57,9.7,5
0.74,0.041,16.0,0.59,12.5,6
0.37,0.09,18.0,0.7,9.6,6
0.305,0.059,7.0,0.52,11.5,6
0.42,0.068,6.0,0.69,11.7,8
0.365,0.088,39.0,0.78,11.0,5
0.47,0.058,18.0,0.85,11.1,6
0.53,0.078,33.0,0.46,9.6,6
0.57,0.067,4.0,0.68,9.5,5
0.32,0.063,16.0,0.78,10.0,6
0.68,0.068,15.0,0.52,11.1,4
0.45,0.086,21.0,0.91,9.9,6
0.43,0.095,28.0,0.68,10.0,5
0.54,0.088,9.0,1.18,10.5,6
0.38,0.097,33.0,0.77,11.4,6
0.4,0.079,24.0,0.58,9.4,5
0.43,0.085,9.0,0.55,9.5,5
0.62,0.088,16.0,0.58,10.7,6
0.415,0.085,17.0,0.8,10.0,6
0.49,0.103,28.0,1.0,11.5,6
0.6,0.076,18.0,0.55,9.5,5
0.62,0.077,15.0,0.54,9.5,5
0.52,0.07,9.0,0.6,9.3,5
0.32,0.075,12.0,0.71,11.8,7
0.41,0.095,22.0,0.76,9.9,7
0.855,0.064,29.0,0.56,10.75,6
0.38,0.08,7.0,0.47,9.5,5
0.685,0.105,22.0,0.57,10.6,6
0.5,0.065,8.0,0.71,10.5,6
0.58,0.096,14.0,0.62,9.1,6
0.34,0.071,30.0,0.58,10.1,5
0.55,0.093,9.0,0.58,11.0,7
0.64,0.072,27.0,0.63,11.0,5
0.5,0.086,21.0,0.57,9.1,5
0.63,0.059,16.0,0.64,10.1,6
0.47,0.055,14.0,0.8,11.2,5
0.38,0.106,5.0,0.55,11.4,6
0.54,0.076,15.0,0.64,9.8,5
0.29,0.113,12.0,0.58,9.5,5
0.35,0.07,10.0,0.91,11.0,6
0.56,0.368,16.0,1.28,9.3,5
1.01,0.039,15.0,0.6,11.5,6
0.865,0.071,27.0,0.49,12.7,6
0.49,0.083,5.0,0.43,9.2,5
0.7,0.076,11.0,0.56,9.4,5
0.46,0.065,7.0,0.79,14.0,6
0.5,0.049,17.0,0.63,13.0,5
0.82,0.095,5.0,0.53,9.6,5
0.65,0.089,17.0,0.55,9.5,5
0.43,0.081,27.0,0.54,10.3,5
0.33,0.077,5.0,0.53,10.3,6
0.38,0.103,6.0,0.58,11.9,7
0.31,0.072,6.0,0.82,9.8,8
0.61,0.067,10.0,0.59,9.5,5
0.43,0.073,29.0,0.58,10.5,6
0.54,0.089,23.0,0.59,9.7,5
0.6,0.08,25.0,0.49,9.9,5
0.88,0.066,12.0,0.56,9.9,5
1.13,0.172,7.0,0.48,9.8,4
0.35,0.083,11.0,0.5,9.5,5
0.68,0.093,11.0,0.55,9.5,6
0.39,0.08,11.0,0.56,9.3,5
0.27,0.091,6.0,0.7,9.7,5
0.27,0.095,20.0,0.56,11.3,6
0.46,0.077,18.0,0.6,10.6,6
0.32,0.071,23.0,0.97,10.6,5
0.935,0.105,11.0,0.64,11.3,4
0.51,0.084,13.0,0.54,10.5,6
0.66,0.077,5.0,0.55,10.4,5
0.695,0.076,12.0,0.54,10.1,5
0.84,0.059,32.0,0.56,12.3,7
0.635,0.08,16.0,0.69,10.8,7
0.61,0.073,24.0,0.53,9.8,5
0.6,0.079,18.0,0.57,9.3,6
0.46,0.078,32.0,0.54,9.8,5
0.39,0.075,6.0,0.43,9.7,6
0.56,0.079,7.0,0.61,10.2,5
0.59,0.076,17.0,0.59,10.0,5
0.54,0.097,7.0,0.6,9.3,6
0.24,0.066,6.0,0.9,11.0,7
0.33,0.054,6.0,0.56,11.5,4
0.43,0.214,5.0,0.63,9.5,6
0.58,0.097,15.0,0.54,9.2,5
0.51,0.076,29.0,0.75,11.0,6
0.58,0.08,9.0,0.55,9.5,5
0.42,0.068,24.0,0.57,11.3,6
0.965,0.112,11.0,0.5,9.5,5
0.42,0.077,8.0,0.53,11.0,5
0.43,0.089,14.0,0.56,9.2,6
0.46,0.076,15.0,0.49,10.7,5
0.58,0.096,3.0,0.62,11.5,4
0.34,0.174,6.0,0.7,11.3,6
0.25,0.062,26.0,0.83,10.6,6
0.8,0.084,12.0,0.48,9.9,5
0.5,0.089,5.0,0.44,9.6,5
0.52,0.091,20.0,0.86,10.6,7
0.39,0.097,19.0,0.49,9.4,5
0.35,0.083,33.0,0.58,9.5,6
0.52,0.079,42.0,0.54,9.5,5
0.55,0.106,12.0,0.63,9.2,5
0.59,0.09,26.0,0.63,10.2,6
0.48,0.084,21.0,0.62,9.4,5
0.545,0.08,13.0,0.59,9.0,6
0.31,0.094,16.0,1.02,10.6,7
0.7,0.079,20.0,0.69,10.9,5
0.54,0.085,17.0,0.51,10.4,6
0.47,0.085,6.0,0.68,12.7,6
0.49,0.077,16.0,0.51,10.5,5
0.51,0.107,6.0,0.66,11.8,7
0.36,0.123,3.0,0.53,11.9,6
0.78,0.415,12.0,1.17,9.2,5
0.415,0.081,13.0,0.64,9.2,5
0.59,0.091,9.0,0.55,11.5,7
0.28,0.05,5.0,0.79,10.2,6
0.38,0.048,26.0,0.75,14.0,6
0.91,0.074,20.0,0.56,9.2,5
0.5,0.072,7.0,0.68,10.9,6
0.5,0.1,5.0,0.62,11.2,5
0.715,0.071,21.0,0.45,9.4,5
0.65,0.066,8.0,0.67,9.5,6
0.5,0.092,13.0,0.47,10.0,5
1.04,0.067,19.0,0.57,11.0,4
0.4,0.071,7.0,0.69,12.5,8
