fixed acidity,citric acid,free sulfur dioxide,sulphates,alcohol,quality
8.3,0.39,17.0,0.77,12.5,7
8.1,0.1,4.0,0.49,9.5,5
10.1,0.37,11.0,0.64,10.4,6
10.4,0.61,11.0,0.69,9.0,5
5.2,0.25,13.0,0.55,9.2,5
7.9,0.4,38.0,0.93,11.3,5
7.4,0.22,12.0,0.63,9.2,5
9.0,0.24,10.0,0.67,10.0,5
9.1,0.49,38.0,0.59,9.1,5
10.2,0.37,14.0,0.49,9.3,4
8.2,0.31,8.0,0.69,10.6,6
5.6,0.0,16.0,0.52,9.9,5
7.4,0.07,15.0,0.48,10.0,5
10.9,0.49,10.0,0.56,11.7,6
7.1,0.0,14.0,0.55,9.4,5
6.8,0.0,15.0,0.63,11.3,6
7.5,0.02,11.0,0.62,10.8,6
10.2,0.37,55.0,0.77,9.0,6
9.3,0.4,10.0,0.75,10.2,6
10.4,0.46,6.0,1.02,10.8,7
10.1,0.46,5.0,0.79,10.2,6
10.3,0.45,5.0,0.82,12.6,8
8.0,0.22,13.0,0.54,9.5,6
7.7,0.28,23.0,0.74,9.2,5
10.0,0.59,3.0,0.78,9.6,5
8.6,0.4,16.0,0.48,9.4,5
5.1,0.0,18.0,0.73,13.6,7
5.6,0.0,7.0,0.58,12.9,5
8.1,0.22,11.0,0.55,9.1,5
8.7,0.31,24.0,0.74,9.6,5
15.6,0.76,6.0,0.68,11.2,7
8.1,0.18,13.0,0.59,9.0,6
8.3,0.49,11.0,0.64,12.1,7
9.5,0.44,21.0,0.63,9.5,5
8.0,0.34,16.0,0.66,12.4,6
6.9,0.02,18.0,0.75,9.8,5
8.9,0.53,3.0,0.59,12.1,7
7.8,0.18,17.0,0.59,10.0,5
7.2,0.03,16.0,0.57,9.7,5
8.1,0.55,32.0,0.62,9.4,5
8.2,0.42,3.0,0.55,12.3,6
6.2,0.14,15.0,0.57,11.5,6
9.8,0.34,10.0,0.6,9.7,7
9.9,0.55,5.0,0.79,10.6,5
9.5,0.41,18.0,0.81,10.9,7
7.8,0.31,26.0,0.53,9.3,5
6.5,0.14,9.0,0.65,9.8,5
6.9,0.23,13.0,0.84,11.2,6
7.1,0.03,21.0,0.6,9.8,5
8.8,0.26,16.0,0.47,9.4,5
7.3,0.03,17.0,0.48,9.0,4
9.1,0.46,3.0,0.6,10.9,6
12.2,0.5,10.0,1.18,9.2,6
10.1,0.35,9.0,0.83,11.2,7
9.4,0.34,5.0,0.52,10.7,6
8.8,0.43,12.0,0.75,10.2,6
12.7,0.65,6.0,0.57,9.9,5
6.0,0.0,40.0,0.93,10.7,6
6.4,0.21,12.0,0.66,9.8,5
7.8,0.28,18.0,0.67,9.4,5
7.2,0.05,16.0,0.6,10.3,6
7.8,0.33,24.0,0.54,9.4,5
6.2,0.29,32.0,0.62,9.8,5
7.9,0.23,23.0,0.58,9.5,6
7.7,0.04,4.0,0.47,9.4,5
10.6,0.59,6.0,1.05,9.4,5
7.7,0.01,31.0,0.57,11.8,6
7.8,0.0,5.0,0.55,9.6,6
8.0,0.3,32.0,0.61,9.0,5
8.4,0.2,10.0,0.64,9.4,5
9.3,0.41,6.0,0.7,9.7,5
8.1,0.23,5.0,0.56,11.3,5
7.9,0.06,27.0,0.67,10.7,6
6.1,0.08,14.0,0.54,11.0,5
9.8,0.34,32.0,0.53,9.5,5
8.3,0.3,11.0,0.61,10.2,6
7.5,0.26,24.0,0.53,9.8,5
8.8,0.41,7.0,0.62,12.1,7
8.6,0.38,5.0,0.52,9.4,5
7.4,0.19,15.0,0.68,10.5,5
9.4,0.48,10.0,0.79,12.2,7
11.3,0.5,20.0,0.57,10.5,5
9.2,0.18,10.0,1.36,10.2,6
10.0,0.31,26.0,0.63,10.2,6
8.7,0.46,11.0,0.76,10.1,6
8.4,0.1,6.0,0.43,9.7,6
7.1,0.3,35.0,0.5,9.4,5
7.8,0.17,21.0,0.48,9.5,5
8.2,0.27,5.0,0.62,9.1,6
8.3,0.25,9.0,0.53,9.8,5
6.0,0.32,6.0,0.56,11.5,4
10.6,0.43,26.0,0.57,10.1,6
7.0,0.18,7.0,0.6,9.3,5
9.3,0.24,5.0,0.59,9.9,5
15.0,0.44,10.0,0.84,9.2,7
9.8,0.39,28.0,0.59,9.8,5
6.6,0.09,9.0,0.49,10.8,6
8.5,0.52,9.0,0.67,10.4,5
7.2,0.3,31.0,0.59,9.5,6
5.2,0.26,23.0,0.62,12.2,6
7.1,0.0,6.0,0.66,12.7,7
9.1,0.0,11.0,0.86,9.4,6
7.8,0.12,11.0,0.61,11.6,6
10.6,0.64,6.0,0.66,11.7,6
5.4,0.08,20.0,0.64,10.2,6
6.1,0.25,23.0,0.97,10.6,5
5.6,0.03,6.0,0.62,10.1,4
7.9,0.21,10.0,0.91,9.5,5
8.1,0.0,5.0,0.53,9.6,5
7.3,0.26,35.0,0.49,9.4,5
7.6,0.02,9.0,1.08,9.2,4
7.3,0.08,10.0,0.5,9.8,5
7.2,0.14,15.0,0.61,12.1,6
9.2,0.49,23.0,0.64,9.5,5
6.8,0.21,9.0,0.6,10.3,5
7.6,0.21,21.0,0.44,9.2,5
8.2,0.27,5.0,0.62,9.1,6
7.8,0.0,7.0,0.64,9.4,6
10.3,0.42,35.0,0.7,9.5,6
10.4,0.49,6.0,1.06,11.0,6
9.3,0.57,27.0,0.79,10.7,5
6.8,0.09,15.0,0.52,11.1,4
12.0,0.66,12.0,0.63,10.8,7
7.4,0.07,8.0,0.58,9.6,5
6.8,0.0,21.0,0.72,10.2,5
7.0,0.05,13.0,0.57,9.8,5
7.0,0.08,22.0,0.54,9.2,6
8.9,0.18,15.0,0.47,9.7,6
11.6,0.54,22.0,0.76,9.9,7
6.9,0.25,5.0,0.6,10.1,6
7.1,0.35,9.0,0.62,9.4,5
7.4,0.27,14.0,0.63,12.0,6
7.7,0.2,15.0,0.44,10.9,5
7.8,0.05,6.0,0.63,9.3,5
6.5,0.1,30.0,0.48,9.4,6
7.1,0.42,29.0,0.72,10.5,5
12.9,0.55,7.0,0.68,10.9,6
11.0,0.68,10.0,0.61,11.8,5
11.6,0.57,3.0,0.7,9.9,6
8.8,0.26,4.0,0.74,9.2,5
7.4,0.24,18.0,0.62,10.4,5
8.0,0.63,16.0,0.78,10.8,6
7.1,0.0,16.0,0.7,9.9,6
8.1,0.48,5.0,1.05,9.4,5
8.6,0.31,21.0,0.91,9.9,6
8.8,0.0,8.0,0.53,10.0,6
10.0,0.54,42.0,0.63,11.8,8
7.0,0.35,16.0,0.55,9.2,5
8.2,0.6,10.0,0.68,10.6,5
8.7,0.51,12.0,1.17,9.2,5
6.2,0.09,24.0,0.6,11.3,5
7.0,0.13,15.0,0.59,9.7,6
15.6,0.49,10.0,0.74,11.1,5
5.0,0.5,29.0,0.66,13.6,6
5.2,0.0,27.0,0.79,14.0,6
7.0,0.12,13.0,0.62,10.2,7
7.1,0.01,27.0,0.58,10.7,6
7.7,0.26,19.0,0.79,10.9,6
10.2,0.39,6.0,0.47,10.0,5
8.3,0.42,11.0,0.8,9.4,6
6.4,0.21,14.0,0.66,9.8,5
10.7,0.34,23.0,0.68,9.3,5
9.1,0.5,7.0,0.69,12.5,8
7.6,0.49,16.0,0.64,9.1,5
6.8,0.07,11.0,0.55,10.4,6
7.3,0.24,27.0,0.59,11.1,6
8.7,0.26,7.0,0.6,9.3,6
8.6,0.28,20.0,1.95,9.9,6
6.6,0.04,7.0,0.58,10.8,6
9.7,0.32,22.0,0.62,10.1,5
7.4,0.3,17.0,0.7,11.4,8
7.7,0.26,23.0,0.59,9.7,5
6.8,0.1,34.0,0.67,9.7,5
7.2,0.44,22.0,0.84,11.5,6
7.5,0.31,15.0,0.64,9.0,5
7.6,0.03,27.0,0.64,10.9,6
10.4,0.58,6.0,0.7,11.3,6
8.9,0.48,29.0,0.53,9.4,6
10.5,0.42,6.0,1.05,10.8,7
7.8,0.04,15.0,0.65,9.8,5
12.3,0.63,6.0,0.49,9.5,5
8.8,0.49,17.0,0.6,9.8,5
9.9,0.56,3.0,0.73,11.4,6
10.8,0.41,7.0,0.67,9.3,6
10.2,0.43,11.0,0.67,10.8,5
7.3,0.49,39.0,0.78,11.0,5
10.4,0.55,22.0,0.89,9.9,6
5.7,0.0,11.0,0.56,12.2,6
7.2,0.26,33.0,0.58,9.5,6
10.2,0.42,7.0,0.79,11.1,7
7.5,0.18,27.0,0.77,9.4,5
7.9,0.46,15.0,0.86,12.8,8
7.2,0.0,14.0,0.58,9.0,6
6.7,0.01,17.0,0.61,12.8,6
9.4,0.47,6.0,0.5,10.5,5
8.3,0.4,24.0,0.86,11.0,6
7.8,0.33,24.0,0.6,9.5,5
7.2,0.13,12.0,0.54,10.1,5
11.9,0.49,12.0,0.61,10.3,5
8.5,0.51,45.0,0.76,11.8,7
9.7,0.34,12.0,0.66,10.1,5
8.3,0.22,6.0,0.61,9.3,5
8.9,0.39,5.0,0.58,10.3,5
7.9,0.17,20.0,0.53,9.5,5
9.6,0.31,16.0,0.7,10.0,7
11.2,0.56,17.0,0.58,9.8,6
8.6,0.25,8.0,0.6,10.0,6
11.6,0.53,33.0,0.95,9.2,5
8.3,0.29,12.0,0.68,11.5,6
7.5,0.32,13.0,0.62,9.5,5
8.0,0.03,10.0,0.57,10.0,5
7.3,0.01,9.0,0.58,11.0,7
15.5,0.49,10.0,0.74,11.1,5
7.5,0.0,6.0,0.49,9.7,4
9.1,0.3,8.0,0.71,10.5,6
7.8,0.19,15.0,0.54,9.5,5
10.3,0.24,15.0,0.66,12.8,6
6.3,0.19,15.0,0.52,12.7,6
7.5,0.32,7.0,0.44,10.4,5
6.6,0.49,23.0,0.5,11.5,6
9.6,0.24,5.0,0.6,10.2,5
8.5,0.2,23.0,0.48,9.2,5
8.8,0.41,26.0,0.53,10.5,6
7.0,0.02,17.0,0.61,10.2,5
8.6,0.4,3.0,0.67,11.9,6
10.6,0.68,6.0,0.66,13.4,6
7.6,0.4,6.0,0.54,12.2,6
6.0,0.0,15.0,0.45,9.5,5
7.5,0.02,13.0,0.54,10.5,6
11.5,0.49,10.0,0.91,11.0,6
8.4,0.4,8.0,0.6,10.5,5
6.4,0.15,17.0,0.6,10.5,6
8.0,0.35,28.0,0.62,10.8,5
13.2,0.52,12.0,0.56,9.0,6
10.3,0.52,15.0,0.64,9.4,5
7.8,0.19,12.0,0.93,9.5,5
7.1,0.01,24.0,0.61,10.9,6
10.1,0.23,10.0,0.65,9.3,6
8.6,0.22,7.0,0.56,10.2,6
9.8,0.39,21.0,0.71,11.5,7
8.2,0.33,11.0,0.81,11.0,6
6.1,0.16,11.0,0.74,10.1,7
9.1,0.32,4.0,0.8,11.2,6
7.4,0.17,52.0,0.5,9.5,5
9.9,0.5,48.0,0.75,8.8,5
6.6,0.02,17.0,0.89,12.3,7
5.8,0.11,18.0,0.66,10.9,6
8.9,0.51,13.0,0.9,13.4,7
6.6,0.04,8.0,0.63,9.4,6
7.8,0.26,31.0,0.52,9.9,5
8.8,0.14,10.0,0.59,9.5,5
8.3,0.1,17.0,0.55,9.5,5
6.4,0.14,27.0,0.48,9.2,5
7.3,0.33,21.0,0.77,12.1,7
6.8,0.0,14.0,0.55,10.7,6
9.9,0.25,12.0,0.9,10.1,5
10.4,0.42,34.0,0.86,9.9,3
6.3,0.1,12.0,0.51,12.1,5
7.4,0.1,16.0,0.69,10.8,7
8.9,0.39,3.0,0.59,9.5,6
7.0,0.49,26.0,0.76,10.5,5
8.0,0.44,28.0,0.66,11.2,5
11.8,0.52,6.0,0.72,10.2,7
8.9,0.36,10.0,0.69,11.8,5
6.1,0.01,5.0,0.56,11.4,5
8.6,0.28,20.0,1.95,9.9,6
7.2,0.03,7.0,0.39,9.5,5
7.9,0.34,8.0,0.72,13.1,8
9.3,0.44,9.0,0.55,9.5,5
12.5,0.49,5.0,0.87,10.9,5
8.2,0.42,9.0,0.54,12.3,6
7.3,0.0,18.0,0.6,9.4,5
7.7,0.21,4.0,0.54,9.8,6
8.2,0.32,4.0,0.76,12.8,7
11.3,0.45,6.0,0.66,9.2,6
7.7,0.01,12.0,0.56,10.5,7
8.9,0.18,52.0,0.88,9.2,5
8.5,0.32,26.0,0.72,11.8,6
8.6,0.27,14.0,0.8,11.2,5
7.4,0.05,24.0,0.57,11.5,6
7.9,0.41,6.0,0.71,11.0,6
8.1,0.18,13.0,0.59,9.0,6
8.2,0.0,3.0,0.49,10.9,5
12.2,0.49,3.0,0.63,10.4,5
6.7,0.21,8.0,0.58,9.3,6
7.6,0.31,26.0,0.62,9.5,6
7.2,0.37,11.0,0.8,12.4,7
9.1,0.33,13.0,0.84,11.7,7
9.3,0.44,9.0,0.55,9.5,5
9.2,0.21,29.0,0.58,9.6,5
15.0,0.44,10.0,0.84,9.2,7
8.7,0.24,5.0,0.6,9.0,6
8.2,0.21,5.0,0.52,9.5,5
11.7,0.49,5.0,0.43,9.2,5
10.0,0.24,13.0,0.56,10.0,6
9.9,0.45,16.0,0.62,9.4,5
11.3,0.66,3.0,0.53,11.9,6
6.9,0.18,5.5,0.6,10.3,6
9.2,0.24,20.0,0.67,9.6,5
7.0,0.02,8.0,0.67,9.5,6
6.5,0.06,29.0,0.83,10.3,6
7.5,0.27,17.0,0.58,9.8,6
10.4,0.63,5.0,0.74,11.2,7
6.4,0.4,8.0,0.73,10.6,6
7.6,0.0,5.0,0.4,10.9,3
9.3,0.39,41.0,0.73,10.9,6
9.8,0.49,15.0,0.9,10.0,6
9.2,0.24,28.0,0.57,9.5,5
8.7,0.0,24.0,0.55,9.7,5
7.3,0.18,12.0,0.73,9.5,6
6.8,0.02,8.0,0.62,10.4,6
5.5,0.03,28.0,0.82,14.0,8
8.2,0.38,12.0,0.47,9.0,6
8.4,0.04,10.0,0.44,9.6,5
6.2,0.24,19.0,0.57,11.7,6
6.7,0.09,7.0,0.61,10.2,5
6.1,0.15,6.0,0.57,9.4,5
10.7,0.48,15.0,0.81,9.7,6
7.4,0.33,9.0,0.6,11.9,6
9.6,0.36,26.0,0.68,10.9,5
5.6,0.09,17.0,0.63,13.0,5
8.9,0.14,9.0,0.64,10.5,5
9.0,0.14,9.0,0.63,9.8,5
8.2,0.27,7.0,0.47,10.0,4
9.3,0.29,6.0,0.72,11.2,5
7.4,0.29,19.0,0.76,10.9,7
10.9,0.52,17.0,0.77,11.5,6
7.2,0.07,5.0,0.81,9.6,6
9.3,0.39,41.0,0.73,10.9,6
8.2,0.17,11.0,0.45,9.3,5
10.8,0.3,7.0,1.18,10.2,5
4.7,0.17,17.0,0.6,12.9,6
9.9,0.19,33.0,0.55,9.4,5
6.5,0.0,3.0,0.62,11.5,4
6.6,0.04,12.0,0.56,9.9,5
7.8,0.35,21.0,0.56,9.2,5
8.5,0.56,35.0,0.75,10.5,7
6.1,0.23,16.0,0.65,12.5,6
8.7,0.22,9.0,0.55,9.4,5
10.7,0.38,29.0,0.79,12.1,7
15.9,0.65,22.0,0.84,14.9,5
9.5,0.24,14.0,0.74,10.0,6
9.0,0.31,24.0,0.61,9.4,5
6.6,0.08,14.0,0.58,10.2,5
8.2,0.34,16.0,0.78,11.3,7
7.4,0.0,7.0,0.58,11.3,6
6.3,0.0,17.0,0.55,11.2,4
7.0,0.3,20.0,1.17,10.2,5
11.6,0.44,36.0,0.86,9.9,4
9.7,0.46,5.0,0.74,12.3,6
9.2,0.36,11.0,0.86,12.0,7
8.6,0.17,21.0,0.52,9.3,5
10.0,0.2,13.0,0.69,9.2,6
9.4,0.53,6.0,1.13,12.0,7
7.2,0.32,15.0,0.73,11.3,7
8.7,0.31,23.0,0.74,11.6,6
7.9,0.32,14.0,0.56,12.6,6
9.8,0.19,8.0,0.58,10.5,6
7.1,0.28,6.0,0.53,10.3,5
9.1,0.57,6.0,0.57,12.5,6
8.9,0.19,51.0,0.93,9.2,5
10.4,0.73,38.0,0.85,12.0,7
6.8,0.12,16.0,0.61,9.5,5
7.8,0.02,9.0,0.57,9.5,7
7.8,0.32,29.0,0.64,10.3,5
7.2,0.32,15.0,0.73,11.3,7
6.9,0.19,13.0,0.64,9.8,6
9.0,0.49,41.0,0.61,9.2,5
6.6,0.31,7.0,0.68,10.3,5
8.1,0.0,10.0,0.5,9.8,5
7.5,0.0,22.0,0.58,10.0,6
10.1,0.54,7.0,0.53,12.5,6
6.8,0.22,15.0,0.82,11.2,6
7.4,0.12,4.0,0.86,9.2,5
6.8,0.15,13.0,0.67,11.3,6
7.3,0.2,24.0,0.57,11.7,6
6.3,0.15,26.0,0.82,11.6,6
6.7,0.28,36.0,0.39,11.7,7
6.3,0.28,13.0,0.6,12.8,5
11.6,0.58,25.0,0.53,10.0,5
8.4,0.29,14.0,0.78,12.0,6
6.8,0.0,16.0,0.51,9.8,3
8.4,0.11,16.0,0.82,9.6,5
10.4,0.24,29.0,0.67,9.9,5
8.6,0.51,16.0,1.17,9.0,5
9.9,0.07,32.0,0.71,9.8,5
11.9,0.58,5.0,0.63,10.0,6
10.8,0.43,27.0,0.76,10.8,6
8.7,0.09,20.0,0.86,10.6,7
9.9,0.49,9.0,0.52,12.5,7
8.5,0.27,18.0,0.85,11.1,6
11.1,0.49,16.0,1.02,10.6,7
7.2,0.32,43.0,0.79,11.1,5
6.3,0.13,29.0,0.75,11.0,6
10.2,0.58,11.0,0.99,12.0,7
7.6,0.49,25.0,0.61,10.1,6
8.7,0.51,12.0,1.17,9.2,5
6.8,0.01,9.0,0.56,9.5,6
6.8,0.31,26.0,0.64,10.1,6
7.2,0.04,18.0,0.55,9.5,5
5.9,0.0,3.0,0.85,11.7,6
11.3,0.67,6.0,0.69,13.4,8
5.6,0.05,19.0,0.55,12.9,5
7.5,0.11,11.0,0.58,9.6,5
12.0,0.76,7.0,0.6,13.0,7
8.3,0.0,6.0,0.64,10.0,6
7.2,0.13,12.0,0.54,10.1,5
8.1,0.24,5.0,0.77,10.7,6
8.6,0.3,30.0,0.53,9.4,5
7.6,0.15,33.0,0.63,10.2,6
10.2,0.4,41.0,0.86,10.5,6
6.9,0.0,32.0,0.58,11.4,6
7.6,0.26,10.0,0.8,9.3,5
8.8,0.04,14.0,0.6,10.9,6
7.6,0.21,7.0,0.55,9.7,5
6.7,0.02,36.0,0.53,9.7,5
7.6,0.31,13.0,0.54,9.9,6
5.9,0.12,32.0,0.71,10.2,5
7.8,0.0,25.0,0.68,9.8,5
7.8,0.0,27.0,0.63,11.0,5
8.8,0.17,25.0,0.54,9.6,5
6.9,0.15,19.0,0.59,10.1,5
7.2,0.02,5.0,0.8,9.7,5
12.7,0.49,5.0,0.57,11.4,5
6.7,0.08,8.0,0.52,12.6,5
8.9,0.32,10.0,0.77,10.5,7
12.5,0.6,31.0,0.73,10.5,5
7.4,0.0,11.0,0.56,9.4,5
13.8,0.67,6.0,0.93,12.0,6
7.6,0.42,6.0,0.82,11.9,6
7.0,0.36,14.0,0.56,9.2,6
9.0,0.49,21.0,0.57,9.7,5
8.2,0.32,24.0,0.85,11.0,6
5.0,0.0,16.0,0.59,12.5,6
6.5,0.14,9.0,0.65,9.8,5
8.0,0.22,5.0,0.58,11.0,5
8.4,0.08,16.0,0.52,11.0,5
8.4,0.32,32.0,0.72,11.0,6
7.0,0.07,15.0,0.6,11.3,6
8.9,0.32,10.0,0.77,10.5,7
10.6,0.37,26.0,0.52,9.9,5
7.7,0.0,6.0,0.52,9.3,5
8.7,0.02,36.0,0.58,9.8,5
5.2,0.0,27.0,0.79,14.0,6
9.5,0.26,13.0,0.62,10.0,5
9.8,0.39,21.0,0.71,11.5,7
6.0,0.04,13.0,0.47,10.0,5
11.4,0.49,10.0,0.63,10.5,6
7.4,0.12,5.0,0.54,9.5,5
8.9,0.5,27.0,1.61,9.5,6
6.4,0.08,19.0,0.49,11.4,6
5.7,0.09,7.0,0.48,9.8,4
8.5,0.35,6.0,0.74,11.8,7
8.3,0.26,11.0,0.53,9.2,4
11.1,0.53,3.0,0.83,10.9,7
8.3,0.1,45.0,0.53,10.0,5
7.8,0.14,3.0,0.6,10.8,6
9.6,0.5,28.0,0.57,9.7,5
10.3,0.56,3.0,0.51,11.8,6
7.2,0.24,5.0,0.48,9.4,5
5.8,0.26,3.0,0.54,13.5,6
7.7,0.06,9.0,0.48,9.8,6
8.2,0.21,5.0,0.52,9.5,5
8.2,0.35,21.0,0.62,9.4,5
10.8,0.44,16.0,0.78,10.0,6
8.2,0.09,7.0,0.55,9.0,6
8.8,0.64,9.0,0.66,10.5,5
7.0,0.25,3.0,0.63,9.2,5
7.3,0.31,9.0,0.54,9.4,6
8.4,0.53,9.0,1.06,9.1,6
8.2,0.4,4.0,0.7,12.8,7
10.0,0.38,27.0,0.65,8.5,5
7.6,0.08,15.0,0.59,10.0,5
7.3,0.47,5.0,0.53,10.3,6
5.6,0.0,3.0,0.63,12.8,7
6.6,0.03,32.0,0.56,12.3,7
7.9,0.49,21.0,0.67,10.1,6
7.1,0.3,36.0,1.62,9.5,5
11.6,0.54,22.0,0.76,9.9,7
6.4,0.53,19.0,0.93,12.4,6
6.5,0.0,9.0,0.63,10.9,6
7.6,0.0,33.0,0.62,10.7,6
10.2,0.46,6.0,0.48,10.4,6
8.7,0.1,4.0,0.65,9.55,5
8.0,0.28,21.0,0.54,9.4,6
7.1,0.16,15.0,0.64,9.3,5
10.6,0.49,20.0,0.7,10.0,6
8.0,0.36,10.0,0.46,9.4,5
9.1,0.04,4.0,0.54,9.7,4
7.2,0.13,12.0,0.54,10.1,5
10.8,0.33,20.0,0.71,10.8,5
10.2,0.49,10.0,0.61,10.4,5
6.8,0.07,16.0,0.6,9.3,5
7.7,0.2,9.0,0.62,9.3,5
12.6,0.66,10.0,0.68,9.8,6
6.8,0.22,15.0,0.82,11.2,6
13.3,0.75,23.0,0.68,11.4,7
6.8,0.03,14.0,0.58,10.4,6
6.3,0.0,26.0,0.6,11.5,6
7.5,0.22,43.0,0.42,9.2,5
6.8,0.0,34.0,0.68,9.9,5
9.3,0.26,5.0,0.42,9.6,5
6.5,0.0,6.0,0.51,10.8,5
8.7,0.41,25.0,0.77,12.6,7
8.6,0.29,19.0,1.98,9.8,5
8.2,0.38,10.0,0.74,9.8,5
7.3,0.21,7.0,0.47,9.5,5
6.2,0.08,32.0,0.58,10.5,5
7.7,0.3,18.0,0.9,11.3,7
7.3,0.26,16.0,1.14,9.4,5
11.5,0.59,13.0,0.65,11.0,6
7.8,0.48,14.0,0.62,9.5,5
9.0,0.41,15.0,0.6,12.2,6
7.9,0.03,4.0,0.33,9.1,4
6.9,0.17,6.0,0.59,10.3,6
8.2,0.09,7.0,0.55,9.0,6
11.4,0.69,6.0,0.62,9.2,6
8.4,0.42,23.0,0.78,12.4,6
8.2,0.24,16.0,0.64,9.5,6
8.3,0.15,17.0,0.54,9.6,6
9.3,0.44,34.0,1.22,9.5,5
7.1,0.02,17.0,0.6,9.7,6
8.9,0.41,30.0,0.57,9.3,5
7.5,0.36,17.0,0.8,10.5,5
7.5,0.06,20.0,0.59,10.7,6
7.0,0.3,6.0,0.46,11.9,6
7.6,0.33,27.0,0.58,9.0,5
8.9,0.57,26.0,0.53,9.7,5
8.2,0.2,7.0,0.46,10.0,5
7.3,0.23,35.0,0.62,10.1,5
7.1,0.18,13.0,0.6,9.1,5
7.3,0.32,31.0,0.65,10.0,7
