fixed acidity,citric acid,free sulfur dioxide,sulphates,alcohol,quality
13.3,0.58,15.0,0.49,9.0,5
11.6,0.66,10.0,0.57,9.0,3
9.1,0.3,8.0,0.71,10.5,6
7.1,0.07,16.0,0.52,9.5,5
10.9,0.49,10.0,0.56,11.7,6
8.9,0.34,16.0,0.61,9.5,5
6.9,0.31,21.0,0.55,9.5,6
11.5,0.51,4.0,0.97,10.1,6
8.9,0.45,10.0,0.76,11.9,7
7.7,0.76,8.0,1.26,9.4,5
7.0,0.02,9.0,0.67,9.4,6
11.1,0.42,14.0,0.57,10.4,6
7.2,0.0,14.0,0.58,9.0,6
12.4,0.51,6.0,0.6,9.3,6
7.2,0.03,17.0,0.58,9.8,6
7.9,0.26,42.0,0.54,9.5,5
9.0,0.49,6.0,0.61,9.4,6
10.7,0.39,8.0,0.5,9.6,5
11.6,0.66,6.0,0.74,11.5,7
8.0,0.45,5.0,0.81,12.5,7
10.0,0.22,9.0,0.55,9.5,5
6.2,0.1,4.0,0.76,10.8,6
6.2,0.15,13.0,0.6,11.9,6
9.6,0.24,5.0,0.6,10.2,5
11.0,0.58,7.0,0.88,10.5,7
9.8,0.32,35.0,0.48,9.4,5
7.6,0.06,5.0,0.56,9.8,5
7.2,0.18,13.0,0.48,9.2,6
8.3,0.01,5.0,0.58,11.0,4
8.0,0.17,6.0,0.61,9.2,6
9.6,0.52,13.0,0.76,12.4,7
8.3,0.42,11.0,0.8,9.4,6
11.6,0.4,6.0,0.65,10.0333333333333,6
7.9,0.21,10.0,0.91,9.5,5
7.9,0.36,5.0,0.54,11.2,7
7.5,0.26,24.0,0.53,9.8,5
12.6,0.72,6.0,0.82,9.8,8
8.3,0.37,8.0,0.7,9.6,6
6.9,0.25,10.0,0.5,11.0,5
12.3,0.49,5.0,0.44,9.6,5
8.0,0.08,3.0,0.37,13.0,5
8.9,0.4,12.0,0.75,12.6,7
8.8,0.38,19.0,0.72,11.8,6
9.9,0.46,10.0,0.69,11.9,6
6.3,0.48,18.0,0.78,10.3,6
9.1,0.33,13.0,0.84,11.7,7
7.9,0.68,37.5,0.51,12.3,7
7.8,0.07,22.0,0.43,10.7,6
9.1,0.0,5.0,0.63,10.4,6
8.6,0.36,53.0,0.87,11.0,7
8.4,0.09,11.0,0.66,9.8,5
7.7,0.05,15.0,0.61,9.1,5
5.8,0.02,21.0,0.52,10.0,5
7.7,0.18,6.0,0.6,10.2,6
7.1,0.6,17.0,0.72,10.6,6
7.4,0.13,34.0,0.59,10.8,6
9.2,0.1,12.0,0.54,9.5,6
7.3,0.24,28.0,0.54,10.0,4
8.3,0.25,9.0,0.53,9.8,5
7.2,0.03,16.0,0.57,9.7,5
10.4,0.23,18.0,0.64,10.3,6
8.0,0.33,16.0,0.58,10.7,6
8.0,0.24,10.0,0.56,10.0,6
10.9,0.49,11.0,0.68,11.7,6
7.4,0.26,17.0,0.56,9.8,6
7.5,0.12,50.0,0.77,9.4,5
7.2,0.0,7.0,0.46,10.0,5
10.5,0.64,6.0,0.66,11.8,7
8.8,0.29,5.0,0.49,9.1,5
9.3,0.26,25.0,0.62,9.7,5
6.2,0.43,14.0,0.87,11.2,7
10.8,0.46,5.0,0.64,9.5,5
7.3,0.05,20.0,0.55,9.7,3
10.5,0.51,10.0,0.89,9.4,6
11.0,0.48,6.0,0.71,10.5,5
6.8,0.0,22.0,0.74,9.7,5
6.4,0.21,14.0,0.66,9.8,5
6.8,0.0,21.0,0.72,10.2,5
7.7,0.1,9.0,0.49,9.7,5
9.4,0.34,5.0,0.52,10.7,6
7.5,0.3,6.0,0.72,11.5,7
7.0,0.04,12.0,0.6,9.4,4
9.9,0.24,6.0,0.57,9.4,5
7.2,0.36,13.0,0.64,9.2,5
7.6,0.1,27.0,0.51,9.3,5
10.0,0.33,28.0,0.68,10.0,5
5.9,0.1,39.0,0.76,11.2,6
12.0,0.49,10.0,0.66,9.9,7
7.7,0.22,18.0,0.48,9.5,5
7.1,0.42,29.0,0.72,10.5,5
7.4,0.19,19.0,0.52,9.56666666666667,6
5.3,0.19,7.0,0.61,11.0,5
13.7,0.68,17.0,0.8,10.0,6
7.0,0.3,16.0,0.82,10.0,6
9.0,0.05,26.0,0.53,10.0,5
8.1,0.0,3.0,0.48,10.9,5
7.4,0.08,6.0,0.5,9.0,4
6.9,0.03,7.0,0.63,11.5,6
8.2,0.39,29.0,0.88,12.4,7
8.0,0.56,30.0,0.66,9.4,5
9.1,0.34,45.0,0.86,10.2,7
9.4,0.24,14.0,0.73,10.0,6
6.9,0.0,22.0,0.57,10.6,6
7.9,0.32,17.0,0.55,9.5,5
10.3,0.48,6.0,0.59,9.3,6
8.3,0.14,13.0,0.54,10.1,5
8.0,0.0,11.0,0.53,9.5,5
9.4,0.26,23.0,0.55,9.4,5
6.6,0.01,8.0,0.73,10.5,5
7.0,0.0,3.0,0.6,9.7,6
7.8,0.26,31.0,0.52,9.9,5
7.2,0.38,23.0,0.72,12.9,7
6.7,0.44,24.0,0.8,11.6,7
6.9,0.12,40.0,0.52,9.4,6
14.3,0.74,6.0,0.79,8.4,6
12.5,0.54,12.0,1.36,9.8,7
7.0,0.0,40.0,0.81,9.9,5
10.4,0.45,6.0,0.76,11.4,6
7.2,0.3,31.0,0.59,9.5,6
7.2,0.04,18.0,0.55,9.5,5
10.4,0.48,6.0,0.87,10.9,6
8.0,0.05,12.0,0.61,10.0,5
9.9,0.24,6.0,0.57,9.4,5
9.3,0.36,6.0,0.77,10.8,6
8.0,0.3,38.0,0.56,10.2,6
11.4,0.44,6.0,0.82,9.3,6
7.9,0.3,2.0,0.91,9.5,6
7.7,0.25,29.0,0.58,10.5,6
8.2,0.0,13.0,0.46,9.6,4
10.7,0.37,17.0,0.65,11.2,6
7.7,0.21,4.0,0.54,9.8,6
10.4,0.45,6.0,0.76,11.4,6
6.8,0.0,15.0,0.63,11.3,6
10.2,0.37,55.0,0.77,9.0,6
7.0,0.21,20.0,0.54,10.1,6
8.5,0.5,15.0,1.1,9.4,5
7.5,0.2,36.0,0.4,9.3,5
9.2,0.2,15.0,0.59,9.5,5
7.6,0.32,7.0,0.52,9.4,5
6.1,0.25,5.0,0.44,10.1,5
8.3,0.02,6.0,0.49,11.0,3
10.2,0.48,5.0,0.69,12.1,7
7.1,0.01,11.0,0.4,12.8,6
6.1,0.25,23.0,0.97,10.6,5
7.4,0.29,26.0,0.68,11.0,5
7.1,0.49,8.0,0.56,12.4,6
6.8,0.08,40.0,0.49,9.6,5
8.8,0.35,13.0,0.59,11.3,7
7.3,0.18,12.0,0.73,9.5,6
10.9,0.52,17.0,0.77,11.5,6
6.6,0.02,15.0,0.6,11.0,6
8.0,0.05,8.0,0.95,10.5,6
6.2,0.31,15.0,0.79,9.3,5
5.6,0.0,3.0,0.63,12.8,7
6.1,0.02,26.0,0.45,11.0,5
7.2,0.05,4.0,0.39,10.9,5
7.5,0.19,10.0,0.54,9.7,5
9.9,0.28,21.0,0.51,9.8,5
8.3,0.12,15.0,0.66,9.8,5
7.0,0.3,6.0,0.46,11.9,6
8.6,0.09,8.0,0.44,10.0,5
5.9,0.25,72.0,0.54,10.3,6
7.1,0.06,5.0,0.48,9.8,5
7.7,0.01,31.0,0.57,11.8,6
8.0,0.39,12.0,0.62,10.7,6
9.0,0.25,8.0,0.72,9.6,5
8.1,0.28,13.0,0.73,9.7,7
7.1,0.01,24.0,0.61,10.9,6
11.1,0.47,9.0,0.77,12.1,7
10.6,0.49,18.0,0.51,9.8,6
8.3,0.13,14.0,0.62,9.1,6
7.6,0.24,4.0,0.59,9.5,5
11.2,0.55,6.0,0.71,9.5,6
11.6,0.4,6.0,0.65,10.0333333333333,6
9.3,0.39,12.0,0.65,10.2,5
7.2,0.46,24.0,0.85,11.0,7
10.1,0.34,5.0,0.65,10.6,7
10.8,0.33,20.0,0.71,10.8,5
7.8,0.25,14.0,0.65,9.0,6
6.0,0.0,15.0,0.45,9.5,5
5.4,0.09,16.0,0.56,11.6,6
6.4,0.33,12.0,0.62,12.2,6
8.8,0.48,39.0,1.03,9.3,5
9.0,0.29,32.0,0.57,10.0,5
6.2,0.22,21.0,0.6,9.5,6
7.2,0.54,3.0,0.57,10.3,4
8.2,0.49,32.0,0.75,8.7,6
6.4,0.0,28.0,0.52,11.6,5
9.1,0.41,10.0,0.85,11.7,7
9.7,0.54,28.0,0.82,9.6,5
7.9,0.23,23.0,0.58,9.5,6
7.5,0.1,5.0,0.6,11.2,4
7.1,0.06,8.0,0.73,9.6,5
9.0,0.41,6.0,0.58,11.9,7
10.4,0.49,5.0,0.63,8.4,3
12.0,0.55,25.0,0.76,10.3,6
10.7,0.53,5.0,0.65,11.0,8
9.3,0.26,5.0,0.42,9.6,5
8.8,0.49,18.0,0.6,9.5,5
8.3,0.36,6.0,0.6,9.5,6
8.5,0.31,32.0,0.54,9.8,5
10.7,0.39,7.0,0.62,9.5,5
10.7,0.53,5.0,0.65,11.0,8
8.5,0.27,18.0,0.85,11.1,6
8.0,0.37,36.0,0.44,12.7,6
7.5,0.2,8.0,0.9,10.5,6
8.0,0.43,22.0,0.6,11.9,6
11.2,0.24,16.0,0.72,11.0,6
8.1,0.22,33.0,0.46,9.6,6
7.5,0.02,11.0,0.62,10.8,6
7.5,0.48,22.0,0.7,9.6,4
6.4,0.09,15.0,0.7,10.0,7
12.2,0.49,3.0,0.63,10.4,5
7.2,0.15,10.0,0.51,9.9,6
9.5,0.44,21.0,0.63,9.5,5
7.0,0.19,18.0,0.56,10.9,5
10.4,0.55,22.0,0.89,9.9,6
7.8,0.09,10.0,0.62,9.5,5
7.9,0.21,46.0,0.58,9.5,5
7.2,0.03,7.0,0.52,10.0,5
7.7,0.43,22.0,0.73,9.2,5
7.1,0.42,28.0,0.71,10.5,5
8.2,0.23,14.0,0.7,9.4,5
7.1,0.0,17.0,0.54,9.5,5
8.4,0.32,32.0,0.72,11.0,6
11.1,0.73,6.0,0.66,11.2,6
10.9,0.58,17.0,0.78,10.1,5
6.5,0.27,8.0,0.56,12.0,6
6.8,0.08,28.0,0.82,9.5,6
5.0,0.24,32.0,0.62,11.5,5
8.2,0.1,25.0,0.75,10.9,6
6.5,0.03,23.0,0.5,11.2,4
7.1,0.0,17.0,0.53,9.5,5
12.7,0.49,5.0,0.57,11.4,5
10.9,0.47,6.0,0.75,9.8,6
10.1,0.5,6.0,0.65,11.6,7
9.2,0.31,11.0,0.56,10.9,5
7.4,0.0,13.0,0.56,9.4,5
8.1,0.22,12.0,0.51,9.2,5
8.4,0.43,12.0,0.81,11.2,7
7.6,0.24,8.0,0.66,9.6,6
8.9,0.37,5.0,1.09,9.3,5
9.4,0.33,52.0,0.9,10.2,6
8.7,0.26,7.0,0.6,9.3,6
8.5,0.11,9.0,0.53,9.4,5
7.6,0.0,6.0,0.59,11.0,5
7.3,0.3,15.0,0.59,10.2,5
4.6,0.15,8.0,0.56,13.1,4
8.0,0.27,11.0,0.48,9.8,4
8.0,0.32,16.0,0.5,9.8,6
7.2,0.33,3.0,1.1,10.0,8
11.5,0.59,13.0,0.65,11.0,6
8.7,0.3,10.0,0.67,11.2,7
7.5,0.42,8.0,0.61,10.5,6
7.9,0.21,33.0,0.51,9.9,5
6.8,0.32,4.0,0.55,12.8,7
8.0,0.23,16.0,0.49,10.2,6
7.0,0.08,10.0,0.47,10.0,5
6.9,0.03,7.0,0.63,11.5,6
8.2,0.49,47.0,0.99,9.8,5
7.8,0.3,8.0,0.56,10.4,6
7.1,0.02,24.0,0.53,9.7,6
9.7,0.17,20.0,0.61,9.4,5
10.5,0.47,6.0,0.9,11.0,7
5.3,0.01,5.0,0.84,12.5,7
5.0,0.24,19.0,0.74,14.0,8
6.6,0.09,9.0,0.69,11.3,6
5.0,0.01,26.0,0.75,14.0,6
7.7,0.1,11.0,0.5,9.5,5
8.9,0.4,12.0,0.7,12.0,7
7.5,0.03,27.0,0.47,9.2,5
5.6,0.0,17.0,0.73,11.4,5
8.4,0.29,31.0,0.5,9.1,5
8.3,0.15,10.0,0.77,9.5,5
7.5,0.56,5.0,1.03,11.6,6
7.3,0.32,31.0,0.65,10.0,7
9.2,0.18,10.0,0.49,9.9,5
7.2,0.06,9.0,0.7,9.6,6
7.3,0.1,20.0,0.56,9.2,5
6.4,0.21,26.0,0.77,9.7,6
7.8,0.19,12.0,0.93,9.5,5
12.5,0.49,26.0,0.57,9.6,4
7.5,0.41,34.0,0.85,11.4,6
6.0,0.47,18.0,0.66,11.0,6
6.9,0.25,10.0,0.5,11.0,5
8.3,0.28,11.0,0.61,10.0,6
10.0,0.47,14.0,0.8,10.5,7
9.9,0.45,16.0,0.62,9.4,5
7.4,0.1,16.0,0.69,10.8,7
7.1,0.07,15.0,0.66,10.8,6
7.3,0.09,10.0,0.57,9.0,5
7.0,0.07,15.0,0.6,11.3,6
14.0,0.63,6.0,0.81,10.8,6
8.9,0.24,35.0,0.53,9.2,5
8.3,0.48,6.0,0.62,12.4,7
7.3,0.18,15.0,0.54,9.8,5
10.0,0.43,15.0,0.57,11.0,5
9.6,0.28,30.0,0.53,9.4,5
7.3,0.36,12.0,0.83,10.5,5
6.5,0.11,13.0,0.52,9.3,5
9.2,0.24,12.0,0.54,9.8,5
7.2,0.02,16.0,0.52,9.3,5
15.5,0.49,10.0,0.74,11.1,5
5.0,0.04,41.0,0.48,10.5,4
6.1,0.25,4.0,0.44,10.1,5
6.7,0.64,24.0,0.71,11.2,6
6.4,0.23,5.0,0.56,9.2,5
7.2,0.33,34.0,0.78,12.8,6
7.5,0.02,13.0,0.54,10.5,6
13.4,0.62,6.0,0.67,9.7,6
11.1,0.48,5.0,0.53,10.5,5
6.0,0.05,9.0,0.78,10.6,5
13.7,0.68,17.0,0.8,10.0,6
9.1,0.48,26.0,1.04,10.6,6
9.1,0.11,11.0,0.55,9.5,6
9.6,0.12,30.0,0.64,10.4,6
7.4,0.0,11.0,0.56,9.4,5
7.8,0.68,18.0,1.31,9.3,5
6.4,0.0,6.0,0.51,10.8,5
9.0,0.31,19.0,0.63,9.5,6
6.5,0.06,29.0,0.83,10.3,6
6.8,0.32,4.0,0.55,12.8,7
8.7,0.31,23.0,0.74,11.6,6
7.6,0.29,19.0,0.64,9.5,5
8.5,0.59,16.0,1.34,9.2,5
7.3,0.49,39.0,0.78,11.0,5
7.0,0.02,8.0,0.67,9.5,6
8.3,0.12,12.0,0.72,10.0,5
7.2,0.31,15.0,0.76,11.3,8
7.7,0.27,34.0,0.45,9.3,5
12.0,0.59,23.0,0.68,10.5,7
11.5,0.51,4.0,0.97,10.1,6
7.2,0.46,24.0,0.85,11.0,7
10.2,0.63,10.0,0.78,12.5,7
12.7,0.45,11.0,0.7,9.3,6
8.1,0.0,12.0,0.46,9.6,4
6.9,0.2,9.0,0.43,9.05,4
6.0,0.2,15.0,0.67,12.5,6
6.9,0.21,16.0,0.72,9.25,6
6.7,0.12,12.0,0.52,10.1,5
9.1,0.35,23.0,0.62,9.5,5
6.6,0.03,6.0,0.5,12.2,5
7.2,0.0,4.0,0.52,10.0,5
6.7,0.13,15.0,0.64,9.8,5
12.0,0.5,6.0,0.6,10.4,4
10.5,0.66,12.0,0.75,11.7,7
5.9,0.13,14.0,0.67,12.4,6
6.4,0.14,15.0,0.65,11.1,6
7.8,0.01,3.0,0.46,9.8,5
7.9,0.29,1.0,0.92,9.5,6
6.6,0.14,13.0,0.62,11.7,7
10.3,0.42,21.0,0.72,11.5,6
6.8,0.2,11.0,0.58,9.3,5
5.6,0.04,5.0,0.58,11.4,5
6.9,0.04,7.0,0.91,9.4,6
7.5,0.2,34.0,0.43,9.3,5
7.3,0.24,18.0,0.59,9.3,5
6.7,0.24,18.0,0.6,10.6,6
10.2,0.65,6.0,0.63,11.8,6
8.8,0.46,20.0,0.56,11.3,6
9.1,0.37,6.0,0.58,11.1,7
12.0,0.56,6.0,0.71,10.9,6
8.2,0.34,8.0,0.94,10.9,6
8.3,0.42,9.0,0.77,12.7,7
8.4,0.6,12.0,0.52,9.2,5
8.2,0.44,11.0,0.61,10.5,6
7.6,0.0,30.0,0.65,11.4,6
6.7,0.08,19.0,0.57,11.0,4
9.1,0.24,1.0,0.87,10.3,6
7.1,0.0,16.0,0.7,9.9,6
5.3,0.11,16.0,0.88,13.6,7
6.8,0.11,16.0,0.79,9.5,5
7.2,0.27,12.0,0.71,11.0,5
7.7,0.08,14.0,0.66,9.6,6
10.1,0.44,22.0,0.67,9.7,6
8.6,0.65,3.0,0.58,11.0,5
10.1,0.4,13.0,0.64,10.0,7
12.8,0.63,13.0,0.6,10.4,6
12.3,0.49,5.0,0.44,9.6,5
7.1,0.01,11.0,0.4,12.8,6
6.9,0.11,6.0,0.65,11.4,6
8.5,0.4,3.0,0.56,12.0,4
8.0,0.23,17.0,0.57,9.3,5
7.5,0.16,12.0,0.62,9.5,7
7.1,0.17,27.0,0.64,10.4,5
8.1,0.0,26.0,0.72,9.8,4
9.5,0.33,35.0,0.73,11.8,7
7.3,0.21,7.0,0.47,9.5,5
9.0,0.49,26.0,0.58,9.2,5
10.2,0.39,6.0,0.47,10.0,5
7.4,0.34,18.0,0.88,13.6,7
9.3,0.44,21.0,0.81,10.8,7
7.3,0.32,35.0,0.51,9.5,5
8.1,0.36,35.0,1.01,12.4,7
7.2,0.06,15.0,0.54,9.5,5
6.9,0.01,14.0,0.53,10.8,6
6.1,0.4,40.5,0.59,11.9,6
8.2,0.29,27.0,0.54,10.3,5
8.6,0.24,31.0,1.07,9.3,5
7.6,0.02,17.0,0.51,10.4,6
6.8,0.06,4.0,0.64,10.9,4
6.7,0.02,6.0,0.63,9.95,3
7.1,0.44,17.0,0.54,12.4,6
7.6,0.29,19.0,0.64,9.5,5
6.9,0.02,18.0,0.75,9.8,5
7.9,0.21,33.0,0.51,9.9,5
6.9,0.03,36.0,0.57,10.6,5
7.9,0.0,6.0,0.58,9.5,5
9.1,0.22,12.0,0.51,9.6,5
11.5,0.6,12.0,0.97,10.1,6
11.9,0.66,6.0,0.56,10.0,5
5.8,0.66,15.0,0.6,11.5,6
9.9,0.45,16.0,0.62,9.4,5
8.4,0.1,14.0,0.66,9.8,5
13.5,0.79,23.0,0.77,13.0,5
9.1,0.24,1.0,0.87,10.3,6
9.5,0.49,5.0,0.73,11.0,6
12.1,0.52,15.0,0.66,10.2,5
9.4,0.14,25.0,0.56,9.7,5
7.1,0.2,28.0,0.64,10.4,6
11.5,0.52,29.0,0.88,11.0,5
11.3,0.45,6.0,0.66,9.2,6
11.7,0.47,17.0,0.67,10.6,7
6.9,0.01,40.0,0.73,9.7,5
8.2,0.24,10.0,0.53,10.2,6
6.6,0.0,12.0,0.67,9.2,5
7.9,0.35,7.0,0.8,11.9,7
11.9,0.5,6.0,0.78,10.7,6
9.6,0.5,28.0,0.57,9.7,5
5.4,0.0,16.0,0.59,12.5,6
9.2,0.23,18.0,0.51,9.4,5
9.8,0.38,34.0,0.58,9.8,5
9.3,0.39,41.0,0.73,10.9,6
6.0,0.0,15.0,0.59,12.5,6
7.4,0.26,17.0,0.56,9.8,6
8.7,0.24,5.0,0.6,9.0,6
10.6,0.49,6.0,0.86,10.7,6
8.7,0.16,13.0,0.57,11.0,5
10.6,0.57,6.0,0.72,11.1,7
6.2,0.0,8.0,0.84,9.4,5
8.6,0.1,3.0,0.65,9.55,6
8.0,0.22,13.0,0.54,9.5,6
6.6,0.08,13.0,0.72,12.5,7
6.9,0.04,7.0,0.91,9.4,6
7.5,0.57,5.0,0.55,11.4,6
6.4,0.03,27.0,0.49,12.7,6
9.0,0.17,5.0,0.55,10.4,5
8.3,0.48,6.0,0.62,12.4,7
7.3,0.0,3.0,0.52,9.2,5
7.7,0.0,7.0,0.56,10.8,5
8.8,0.39,20.0,0.69,11.2,6
7.2,0.0,15.0,0.58,9.2,6
9.0,0.24,10.0,0.67,10.0,5
7.4,0.07,8.0,0.58,9.6,5
6.9,0.14,21.0,0.63,9.7,6
7.5,0.03,25.0,0.54,10.1,5
6.8,0.22,13.0,0.83,11.3,6
7.4,0.46,7.0,0.63,10.5,5
7.6,0.03,14.0,0.46,10.3,5
9.3,0.27,24.0,0.67,10.6,6
10.4,0.73,38.0,0.85,12.0,7
7.7,0.26,23.0,0.59,9.7,5
6.6,0.02,68.0,0.53,9.9,5
9.1,0.33,9.0,0.6,9.3,5
7.6,0.23,20.0,0.61,9.3,5
6.6,0.0,4.0,0.37,10.4,4
7.6,0.14,21.0,0.57,10.5,6
8.7,0.52,12.0,0.58,9.5,5
6.0,0.19,22.0,0.78,10.0,6
10.4,0.63,5.0,0.74,11.2,7
6.6,0.0,21.0,0.63,10.3,5
7.0,0.0,39.0,0.84,11.4,6
7.1,0.01,20.0,0.59,9.8,5
10.0,0.44,4.0,0.62,12.2,6
7.8,0.09,34.0,0.74,12.7,8
12.4,0.49,19.0,0.61,9.5,5
5.9,0.08,16.0,0.77,11.1,6
7.6,0.12,12.0,0.57,9.1,5
6.6,0.15,22.0,0.62,9.3,5
8.6,0.0,17.0,0.6,10.4,6
7.4,0.26,36.0,0.49,9.4,5
8.9,0.45,7.0,0.55,12.3,7
9.9,0.53,6.0,0.82,11.7,7
9.9,0.57,30.0,0.76,11.6,7
6.6,0.02,68.0,0.53,9.9,5
7.4,0.19,19.0,0.52,9.6,6
11.2,0.74,5.0,0.62,11.2,5
6.5,0.33,16.0,0.64,10.1,6
9.5,0.27,31.0,0.53,9.4,5
8.0,0.25,19.0,0.48,10.2,5
7.2,0.32,34.0,0.78,9.9,5
9.0,0.34,26.0,0.62,9.5,6
7.5,0.4,12.0,0.64,11.8,6
11.6,0.55,35.0,0.92,10.8,7
9.8,0.43,5.0,0.46,11.4,5
7.7,0.26,9.0,0.64,9.6,5
8.0,0.22,25.0,0.49,9.9,5
6.7,0.24,18.0,0.6,10.6,6
7.6,0.31,26.0,0.62,9.5,6
7.5,0.08,14.0,0.59,10.4,6
8.2,0.33,11.0,0.81,11.0,6
7.5,0.14,27.0,0.59,9.8,5
12.8,0.66,7.0,0.73,10.0,7
10.5,0.47,9.0,0.76,12.0,6
9.0,0.52,5.0,0.62,11.3,6
11.9,0.49,12.0,0.61,10.3,5
6.6,0.01,8.0,0.73,10.5,5
8.1,0.7,25.0,0.53,9.0,5
10.2,0.36,5.0,0.42,10.0,6
7.0,0.4,21.0,0.63,11.1,5
8.6,0.38,5.0,0.52,9.4,5
7.8,0.06,20.0,0.69,10.9,5
8.9,0.45,6.0,0.7,12.5,6
8.8,0.4,19.0,0.64,9.2,5
8.1,0.23,5.0,0.56,11.3,5
7.5,0.2,30.0,0.58,9.2,5
8.3,0.22,10.0,0.62,9.5,5
7.4,0.16,12.0,0.7,9.9,6
7.6,0.6,23.0,0.79,11.1,6
6.8,0.04,5.0,0.6,9.5,5
7.1,0.04,19.0,0.67,9.8,5
8.5,0.2,18.0,0.7,9.6,6
7.6,0.11,12.0,0.57,10.0,5
6.9,0.24,30.0,0.58,10.0,5
8.2,0.6,10.0,0.68,10.6,5
6.9,0.33,66.0,0.56,9.5,5
8.8,0.05,5.0,0.44,9.6,4
7.5,0.07,5.0,0.55,10.9,4
7.0,0.34,16.0,0.6,9.5,5
9.4,0.46,3.0,0.64,12.2,7
7.5,0.02,13.0,0.54,10.5,6
5.6,0.37,12.0,0.58,9.2,5
6.8,0.1,18.0,0.52,10.2,5
